HVH_107_09_000008_000025	一凡僧道軍民人等於各寺巷院神廟
HVH_107_09_000008_000026	刀姦婦女除将女引誘逃走仍按照
HVH_107_09_000008_000027	和誘知情分别首從提以軍徒外其因
HVH_107_09_000009_000001	刁姦而反騙财物者不計賊数多寡
HVH_107_09_000009_000002	爲首之姦夫邊連克軍爲從者减等
HVH_107_09_000009_000003	满徒俱仍盡犯姦本法先於寺觀巷院
HVH_107_09_000009_000004	廟門首分别加號日照提發配財物
HVH_107_09_000009_000005	照追給主犯之婦女仍依本例科罪
HVH_107_09_000009_000006	若軍民人等縱合婦女於寺觀神廟車
HVH_107_09_000009_000007	人通姦杖九十枷號一箇月發落
HVH_107_09_000009_000008	律何二卷九体
HVH_107_09_000009_000009	爱育神男
HVH_107_09_000010_000001	禁止師巫邪術
HVH_107_09_000010_000002	儿師巫假降邪神書符咒水扶鸾聖自
HVH_107_09_000010_000003	號端公太保師要及安确勒佛白
HVH_107_09_000010_000004	莲社明尊教白宗等會一應左道異
HVH_107_09_000010_000005	端之街或隐藏圖像燒香集泉夜聚朝
HVH_107_09_000010_000006	從者各杖一百流三千里若軍民装
HVH_107_09_000010_000007	扮神像鳴鑼擎鼓迎赛食者杖一百
HVH_107_09_000010_000008	罪坐爲首之人里長知而不首者
HVH_107_09_000010_000009	不在此限
HVH_107_09_000010_000010	師巫以書符咒水扶青腾圣等邪街
HVH_107_09_000010_000011	假降邪以感愚民公太保男巫
HVH_107_09_000010_000012	悬律例一卷九
HVH_107_09_000010_000013	禮律
HVH_107_09_000010_000014	九
HVH_107_09_000010_000015	禁止師巫邪待
HVH_107_09_000010_000016	之俗師女巫之俗號弼白
HVH_107_09_000010_000017	要宗等皆邪教之名會共德也其
HVH_107_09_000010_000018	须不一故以等會字括之聖人之道
HVH_107_09_000010_000019	最正此要道相左而别為一者
HVH_107_09_000010_000020	也上均属左道成有不盡於此者
HVH_107_09_000010_000021	則其謀為不之實以爲
HVH_107_09_000010_000022	乱做其法以禁之為首者教属從
HVH_107_09_000010_000023	者各杖一百流三千里民間含
HVH_107_09_000010_000024	所不禁若装扮神像鳴倔皱是亦
HVH_107_09_000010_000025	感乘之者也止将爲首之人杖一百
HVH_107_09_000010_000026	者此等事由倡始之人以導之故
HVH_107_09_000010_000027	不办放也里是有琴察之责知师
HVH_107_09_000010_000028	巫惑衆軍民赛會之事而不举者
HVH_107_09_000010_000029	四十不言不知者其事非一人一家
HVH_107_09_000010_000030	所為無不知之理也若民所建義
HVH_107_09_000010_000031	社而卿人春秋以所年報者
HVH_107_09_000010_000032	用罪被聚集人不在此應禁之
HVH_107_09_000010_000033	条例
HVH_107_09_000011_000001	一各處官吏軍民僧道人等来京安稱請
HVH_107_09_000011_000002	識扶聖書符咒水或燒香集徒夜
HVH_107_09_000011_000003	聚朝散並控造經咒邪街傅徒飲钱
HVH_107_09_000011_000004	切左道翼端煽惑人民及善友求
HVH_107_09_000011_000005	討布施至十人以上者或烧煉丹
HVH_107_09_000011_000006	内外官家或擅
