HVH_107_12_000005_000029	卷十制律藏鉴上
HVH_107_12_000005_000030	四
HVH_107_12_000005_000031	谋报
HVH_107_12_000005_000032	鲜必起干海夷
HVH_107_12_000005_000033	故账
HVH_107_12_000005_000034	交迹
HVH_107_12_000005_000035	测不站王化
HVH_107_12_000005_000036	差或
HVH_107_12_000005_000037	地以叛未行
HVH_107_12_000005_000038	犯罪負固不
HVH_107_12_000005_000039	聚多人執有
HVH_107_12_000005_000040	服非暂远北
HVH_107_12_000005_000041	有從
HVH_107_12_000005_000042	代敢于然
HVH_107_12_000005_000043	以已行論此
HVH_107_12_000005_000044	首促律以
HVH_107_12_000005_000045	人不非謀发而
HVH_107_12_000005_000046	上像未行时事屬
HVH_107_12_000005_000047	于叛故图于律之
HVH_107_12_000005_000048	隐秘乃坐
HVH_107_12_000005_000049	若华八土夷
HVH_107_12_000005_000050	君臣之無所干天地之同而
HVH_107_12_000005_000051	地力关役止用
HVH_107_12_000005_000052	延光假以
HVH_107_12_000005_000053	七是高属
HVH_107_12_000005_000054	明所和之事從
HVH_107_12_000005_000055	次等但共之正把者不
HVH_107_12_000005_000056	分为首為從背财崖人官安于
HVH_107_12_000005_000057	與人妻聘而不坐罪不及
HVH_107_12_000005_000058	E
HVH_107_12_000005_000059	居各親背不坐也者知情而故
HVH_107_12_000005_000060	藏者罪止于面不至南有告
HVH_107_12_000005_000061	獲者皆止始赏丽不授常签反事
HVH_107_12_000005_000062	,
HVH_107_12_000006_000001	周米水而媒罪在
HVH_107_12_000006_000002	1
HVH_107_12_000006_000003	身故正
HVH_107_12_000006_000004	犯
HVH_107_12_000006_000005	之
HVH_107_12_000006_000006	罪輕則坐之罪亦輕速果之法
HVH_107_12_000006_000007	具
HVH_107_12_000006_000008	绿间路之
HVH_107_12_000006_000009	坐
HVH_107_12_000006_000010	课有
HVH_107_12_000006_000011	三年
HVH_107_12_000006_000012	不
HVH_107_12_000006_000013	謀愿拘遮秘言
HVH_107_12_000006_000014	举之中負肆同不官
HVH_107_12_000006_000015	未行離为首教房從背流其
HVH_107_12_000006_000016	取則奥謀
HVH_107_12_000006_000017	特
HVH_107_12_000006_000018	人
HVH_107_12_000006_000019	官
HVH_107_12_000006_000020	條侧
HVH_107_12_000006_000021	呈越律侧卷三
HVH_107_12_000006_000022	精律赋盗上五
HVH_107_12_000006_000023	陈发
HVH_107_12_000006_000024	一叛案内干流犯如本犯身故妻子兔
HVH_107_12_000006_000025	流
HVH_107_12_000006_000026	一凡異姓人但有歉血訂盟焚表結拜弟
HVH_107_12_000006_000027	兄者照謀叛未行律首者操教監
HVH_107_12_000006_000028	為從感一等若聚衆至二十人以上为
HVH_107_12_000006_000029	首者振絞立次爲從者發其無
HVH_107_12_000006_000030	血盟誓焚表事情止序陶結拜弟兄
HVH_107_12_000006_000031	衆至四十人以上爲有者提監候爲
HVH_107_12_000006_000032	從者减一等若年少居首鱼非依序
HVH_107_12_000006_000033	列即屬匪黨集魁首犯操綫立決為從
HVH_107_12_000006_000034	發進如序結拜数在四十人段下
HVH_107_12_000007_000001	二十人以上爲首者杖一百流三千里
HVH_107_12_000007_000002	不及二十人者杖一百號兩個月
HVH_107_12_000007_000003	從各藏一等
HVH_107_12_000007_000004	凡不之徒軟血訂盟轉相結連土豪
HVH_107_12_000007_000005	市棍衙役兵丁彼倡此應爲害良民據
HVH_107_12_000007_000006	邯佑保首告地方官如不准理又不
HVH_107_12_000007_000007	輯惟圖掩飾或至起抄掠横
HVH_107_12_000007_000008	行将地方文武各官章職從重拾罪其
HVH_107_12_000007_000009	平日失察首告之後不自隐諱能擒
HVH_107_12_000007_000010	獲之地方免其議處至保都佑知
HVH_107_12_000007_000011	情不行首告者亦從重治罪知旁人確
HVH_107_12_000007_000012	皇越律例
HVH_107_12_000007_000013	卷十二刑律贼盗上六
