HVH_107_17_000006_000011	百徒三年计赋在十两以上者退
HVH_107_17_000006_000012	皇越律创卷十七刑律
HVH_107_17_000006_000013	五
HVH_107_17_000006_000014	官吏受则
HVH_107_17_000006_000015	至一百二十两者照枉法擬絞爲從分
HVH_107_17_000006_000016	亚减一等其或索詐贫民致令賣男
HVH_107_17_000006_000017	女者十两以下亦照侧充發爲從分
HVH_107_17_000006_000018	贼者不計鱼杖一百徒三年如有
HVH_107_17_000006_000019	詐致人命不論敷多寡擬監误
HVH_107_17_000006_000020	若拷打身死者照故殺律擬监误
HVH_107_17_000006_000021	爲從鱼减一等
HVH_107_17_000006_000022	凡各衙門書吏如有舞文作者係知
HVH_107_17_000006_000023	法犯法應照平人加一等治罪
HVH_107_17_000006_000024	一营司道各上司差役楼害御民州
HVH_107_17_000006_000025	縣查拿并許被害人呈告将該役照例
HVH_107_17_000007_000001	治罪
HVH_107_17_000007_000002	一除無入已坐賊致罪者果能於限内
HVH_107_17_000007_000003	全備仍照那移空錢糧之犯准其减
HVH_107_17_000007_000004	免外若官吏因事受财食婪入已明
HVH_107_17_000007_000005	不枉法及律载准枉法不枉法論等
HVH_107_17_000007_000006	果一年限丙全借死罪照原擬减
HVH_107_17_000007_000007	等欧流罩流以下各减一等落尚限内
HVH_107_17_000007_000008	不是死罪仍照原凝监追流罪以下印
HVH_107_17_000007_000009	行落其應追贓物照倒勒追全結
HVH_107_17_000007_000010	一官员番係枉法入已者於限内
HVH_107_17_000007_000011	全備不准减等其不枉法及准枉法
HVH_107_17_000007_000012	星越律例
HVH_107_17_000007_000013	卷十七刑律
HVH_107_17_000007_000014	广
HVH_107_17_000007_000015	官吏受财
HVH_107_17_000007_000016	論血坐致罪等項仍照定例辨理
HVH_107_17_000008_000001	坐贼致罪
HVH_107_17_000008_000002	凡官吏人等非因
HVH_107_17_000008_000003	枉法之
HVH_107_17_000008_000004	致罪各主者通算折半科罪與者减
HVH_107_17_000008_000005	通算折中科罪為相和明典故
HVH_107_17_000008_000006	所截難不入或造作虚人工物
HVH_107_17_000008_000007	注云不入已着
HVH_107_17_000008_000008	之罪由此者名為坐致
HVH_107_17_000008_000009	。官吏坐胜若不已者復
HVH_107_17_000008_000010	收齐自杖儿
HVH_107_17_000008_000011	设出线人有規遊事重者從重論
HVH_107_17_000008_000012	自以上急说
HVH_107_17_000008_000013	十以招
HVH_107_17_000008_000014	一两以下二十
HVH_107_17_000008_000015	没有人已则不同
HVH_107_17_000008_000016	家照行此有要例
HVH_107_17_000008_000017	一两之上至十两三十
HVH_107_17_000008_000018	俱投然不进
HVH_107_17_000008_000019	能教翻提受时
HVH_107_17_000008_000020	二十两答四十
HVH_107_17_000008_000021	皇越律例卷十七律
HVH_107_17_000008_000022	七
HVH_107_17_000008_000023	坐账数
HVH_107_17_000008_000024	且不追举用坐账者
HVH_107_17_000008_000025	可知也
HVH_107_17_000008_000026	三十两五十
HVH_107_17_000008_000027	四十两杖六十
