HVH_107_19_000013_000015	脱越
HVH_107_19_000013_000016	在逃
HVH_107_19_000013_000017	卒
HVH_107_19_000013_000018	茶
HVH_107_19_000013_000019	未斷罪之間
HVH_107_19_000013_000020	能自捕得及他人捕得若四已死及自
HVH_107_19_000013_000021	注大箱止言必可
HVH_107_19_000013_000022	解脱之物不及金
HVH_107_19_000013_000023	首者各减一等。若常人
HVH_107_19_000013_000024	非街
HVH_107_19_000013_000025	卒
HVH_107_19_000013_000026	以可解
HVH_107_19_000013_000027	奥相之人
HVH_107_19_000013_000028	無日数字签狱卒
HVH_107_19_000013_000029	脱之物典四人及子孫典
HVH_107_19_000013_000030	在狱
HVH_107_19_000013_000031	之
HVH_107_19_000013_000032	祖父毋
HVH_107_19_000013_000033	老子於父奴
HVH_107_19_000013_000034	後因所款而即奥之
HVH_107_19_000013_000035	父毋奴辉雇工人家長者各减
HVH_107_19_000013_000036	A
HVH_107_19_000013_000037	皇越律例一卷十九
HVH_107_19_000013_000038	刑律断整
HVH_107_19_000013_000039	土
HVH_107_19_000013_000040	與金解
HVH_107_19_000013_000041	於家長思義至重即
HVH_107_19_000013_000042	在富人有限划
HVH_107_19_000013_000043	一等。若司官典及提牢官知面
HVH_107_19_000013_000044	狱
HVH_107_19_000013_000045	然欲其自欲之
HVH_107_19_000013_000046	之俏其解脱面
HVH_107_19_000013_000047	不舉者典同罪至死者减一等。若
HVH_107_19_000013_000048	概
HVH_107_19_000013_000049	卒
HVH_107_19_000013_000050	也然可之物即
HVH_107_19_000013_000051	可修用自傷有费
HVH_107_19_000013_000052	常平受财者計賊以法從重
HVH_107_19_000013_000053	司狱官典
HVH_107_19_000013_000054	僑人人容亦有之
HVH_107_19_000013_000055	处放但日各裁等
HVH_107_19_000013_000056	不复分别也
HVH_107_19_000013_000057	注常人情王子
HVH_107_19_000013_000058	致四自盡
HVH_107_19_000013_000059	可装之具
HVH_107_19_000013_000060	原非粮典
HVH_107_19_000013_000061	者狱卒杖六十司
HVH_107_19_000013_000062	常人以至於子系
HVH_107_19_000013_000063	孫奴恩重自
HVH_107_19_000013_000064	狱官典各五十提牢官答四十
HVH_107_19_000013_000065	在其罪相同则其
HVH_107_19_000013_000066	九徽率以金及他物可以自接及
HVH_107_19_000013_000067	自不言即于
HVH_107_19_000013_000068	可以解领极之具典所禁四洪
HVH_107_19_000013_000069	孙效在禁面祖交
HVH_107_19_000013_000070	四未自按未解脱而都卒则何為
HVH_107_19_000013_000071	家長看其罪本
HVH_107_19_000013_000072	奥此可教可悉之具乎律重意其
HVH_107_19_000013_000073	日益监禁光條
HVH_107_19_000013_000074	宜防故林一百共四因得全刃他
HVH_107_19_000013_000075	止渝以禁久
HVH_107_19_000013_000076	物以致解脆锁粗脱越赋而逃走
HVH_107_19_000013_000077	之罪面其等单名
HVH_107_19_000013_000078	在外及在狱中自傷其身或傷及他
HVH_107_19_000013_000079	圆所不计也
HVH_107_19_000013_000080	人者狱卒前杖六十徙一年字
HVH_107_19_000013_000081	在选自傷傷人三项言若囚自按
HVH_107_19_000013_000082	者狱车杖八十徒二年致四反面
HVH_107_19_000014_000001	尚及在继死他入者狱卒處校维
HVH_107_19_000014_000002	皆内之所移而原其所以得稿之故
HVH_107_19_000014_000003	由继年之具电若其四在送
HVH_107_19_000014_000004	卒已間疑尚来商央之同卒能
HVH_107_19_000014_000005	常人则非親粥而奥标如
HVH_107_19_000014_000006	则观属亦包其内皋之常人與
HVH_107_19_000014_000007	之至名之重者以制其也
HVH_107_19_000014_000008	未用放无十在进自人一百
HVH_107_19_000014_000009	舉者各奥阿罪至死者减一等
HVH_107_19_000014_000010	一百流三千里承两筛狱卒奥常
HVH_107_19_000014_000011	律例一卷十元
HVH_107_19_000014_000012	刑律断墅
HVH_107_19_000014_000013	十三
HVH_107_19_000014_000014	翼四金万解院
HVH_107_19_000014_000015	人子殊如雇而言绝不言不知情者
HVH_107_19_000014_000016	說見上獄條。若卒常人
HVH_107_19_000014_000017	毕司官典受與微率及常人
HVH_107_19_000014_000018	可他物粗失照致被自
HVH_107_19_000014_000019	者不得忽之耳獄卒重大
HVH_107_19_000014_000020	防守之責维事在狱卒面提半司
HVH_107_19_000014_000021	獄均有答察之任也故論罪有差
HVH_107_19_000015_000001	主守教四反典
HVH_107_19_000015_000002	反剖
HVH_107_19_000015_000003	翻
HVH_107_19_000015_000004	九司狱官典狱卒教令罪四反異
HVH_107_19_000015_000005	定之
HVH_107_19_000015_000006	致养人扶
HVH_107_19_000015_000007	有所增城
HVH_107_19_000015_000008	去自
HVH_107_19_000015_000009	2
HVH_107_19_000015_000010	罪者以故入
HVH_107_19_000015_000011	人罪論外人犯
HVH_107_19_000015_000012	称官
HVH_107_19_000015_000013	有所增者减
HVH_107_19_000015_000014	数
HVH_107_19_000015_000015	令通涛
HVH_107_19_000015_000016	容外人入獄及
HVH_107_19_000015_000017	通言語
HVH_107_19_000015_000018	泄事情於四罪無增减者笞五十0若
HVH_107_19_000015_000019	卒外人
HVH_107_19_000015_000020	徽官典
HVH_107_19_000015_000021	受财者並計赋以枉法從重
HVH_107_19_000015_000022	論
HVH_107_19_000015_000023	字音如書平反之反反具謂
HVH_107_19_000015_000024	已部承服而又反其原招成案以
HVH_107_19_000015_000025	致有異也通傳言語者或通傳四言
HVH_107_19_000015_000026	皇越律侧
HVH_107_19_000015_000027	卷十九
HVH_107_19_000015_000028	刑律新上
HVH_107_19_000015_000029	十四
HVH_107_19_000015_000030	主守教因反
HVH_107_19_000015_000031	典欲卒皆有與守罪之貴狱中虾
HVH_107_19_000015_000032	弊情當医察乃反奏令罪图反已
HVH_107_19_000015_000033	成之業變所犯其實事情及典通
HVH_107_19_000015_000034	傳言語内外扶到以致他人之罪有
HVH_107_19_000015_000035	前增自已之罪有所我者通以故出
HVH_107_19_000015_000036	入人罪論增輕作重生以断增城重
