HVH_105_000007_000017	山大靈江日坡浅海安生淵莲平江海門则布政
HVH_105_000007_000018	海門瀚海門日麗海門明海門景致皆空其
HVH_105_000007_000019	物產則人参燕巢白蜜黄蝉犀角象牙兒角硝降香
HVH_105_000007_000020	烘籠龍藤烏木铁林木花檬花菟木虔虔木又有吃本
HVH_105_000007_000021	色白而軟久则渐黄屈之不折可弩普鐵奏木紫色
HVH_105_000007_000022	而潤貝木好勝於鐵林棋木花放黑可以作架
HVH_105_000008_000001	水大而色白夜木大而黄花木赤而纹皆林木最
HVH_105_000008_000002	也
HVH_105_000008_000003	横号
HVH_105_000008_000004	横山在布州近山焦止接人安界自遠超超而来重
HVH_105_000008_000005	。
HVH_105_000008_000006	崗登嶂横亘至海隐居長城
HVH_105_000008_000007	美
HVH_105_000008_000008	黎山在豊縣界遠最尖耸又名山车山其
HVH_105_000008_000009	麓下郎大江多座鹿蟹
HVH_105_000008_000010	禁山
HVH_105_000008_000011	下山在豊縣右江處山省向花方蜀此背之故
HVH_105_000008_000012	2
HVH_105_000008_000013	汉名山
HVH_105_000008_000014	基富
HVH_105_000008_000015	磊雷山在涝瀚海口横山一带或如鳳舞延袤層層至
HVH_105_000008_000016	皇越地奥卷
HVH_105_000008_000017	是山而止
HVH_105_000008_000018	1A//
HVH_105_000008_000019	X启博
HVH_105_000008_000020	烏蹲其西陽山屹其北山與寺左右相對有洞水
HVH_105_000008_000021	平舟船多泊於此
HVH_105_000008_000022	秉燭沿水徑而入约二里有一口人其中则天地日月
HVH_105_000008_000023	霞雲花草宛然一世界大谷平世基有天四
HVH_105_000008_000024	卧如天献成景物奇秀中多通
HVH_105_000008_000025	馬鞍山在水縣源頭高大而起之若馬鞍然
HVH_105_000008_000026	道山在水山有港沿港有大路林木交加景致
HVH_105_000009_000001	壽剧到
HVH_105_000009_000002	名山拱其东南坡之西北處最有蛟龍居焉
HVH_105_000009_000003	淺海在高水縣自安生錦里諸源所注百川會號日
HVH_105_000009_000004	靈山在明縣近沙社四面平洋一峰尖秀
HVH_105_000009_000005	日廣步在豊蘇縣日海門汪溪萬大海在其東北
HVH_105_000009_000006	海東北海沙堆登西南山峰横大海萬空蒙互
HVH_105_000009_000007	提互楼中有一道最淡航船往来植木為標
HVH_105_000009_000008	安生湖
HVH_105_000009_000009	安生淵在水縣土哩源三岐處其清微底其深無際
HVH_105_000009_000010	時或雲昏雨舟往來間吹之聲所雨壇面
HVH_105_000009_000011	得甫
HVH_105_000009_000012	皇慧地集誌
HVH_105_000009_000013	平江在水縣其水平淡
HVH_105_000009_000014	建山
HVH_105_000009_000015	道池在鹿水縣馬鞍山西有山山起小峰
HVH_105_000009_000016	布政海門在布政州其江自箕沙諸源而下
HVH_105_000009_000017	門在布政州横山镇其西磊山擎其北益味頗住
HVH_105_000009_000018	日鹿海門在豊縣其江自土哩安代諸淵而下
HVH_105_000009_000019	明靈海門在明州东有学岸西有古条山乃關守衡
HVH_105_000009_000020	要處
HVH_105_000010_000001	广南古越装国泰漢為象州晋唐時林邑後
HVH_105_000010_000002	城國李陳雖取化州而隘雲以南占城故壤
HVH_105_000010_000003	伐占始取古壘同置开華思義四州自此升华府以内
HVH_105_000010_000004	始入版圖與新平興化爲三府属明升華復陷于占黎
HVH_105_000010_000005	初占人屢寇以化州接敢常命重臣禦之洪德中聖
HVH_105_000010_000006	親征擒占主始以其地置爲廣南承宣隸府三縣
HVH_105_000010_000007	弘定初大王增置一府共爲四府十一縣廣南西接
HVH_105_000010_000008	牛東接大海北接化州南连占城监雲限其北石碑界
HVH_105_000010_000009	其南江山崇绕封域截然南方一巨也其地肥饶而
HVH_105_000010_000010	地奥部
HVH_105_000010_000011	厚利其田廣而票之多常供他物货之美
HVH_105_000010_000012	不减北方固财之各海山之胜地也
HVH_105_000010_000013	醴陽縣
HVH_105_000010_000014	九社今
HVH_105_000010_000015	九
HVH_105_000010_000016	河東縣
HVH_105_000010_000017	今五量
HVH_105_000010_000018	五總
HVH_105_000010_000019	府在廣南之西连山盤哀牢接壤舊爲占地淄胡伐
HVH_105_000010_000020	募民物牛
HVH_105_000010_000021	占克始置路設官以治之起發义安順化無田而
HVH_105_000010_000022	赐韵
HVH_105_000010_000023	有財者遷居於此為軍民牛爵以給民居
HVH_105_000010_000024	自此升華始入版圖常留屯兵以禦古人胡亡其地復
HVH_105_000010_000025	陷於占明人郡縣我國以化州陰遠撫治甚難此路米
HVH_105_000011_000001	問也黎初未能收復追聖示洪德元年親征占城
HVH_105_000011_000002	其主茶全始復大占古壘之地以降人巴太大占知
HVH_105_000011_000003	府多永爲知府杜子春爲古壘知州黎復陀同知
HVH_105_000011_000004	州諭之日大占古壘為我境近代論於占國今盡復
HVH_105_000011_000005	之特命守敢有不從殺然後奏六月以占城地置
HVH_105_000011_000006	廣南承宣使司及升华又稳兵按察司自此復歸版
HVH_105_000011_000007	地氣既開風物日就繁盛其田廣好美人
HVH_105_000011_000008	工精巧所織布羅華彩方不减廣東山多產
HVH_105_000011_000009	黄金物座则山太多民家當利牛馬云
HVH_105_000011_000010	藏地奥志
HVH_105_000011_000011	朱
HVH_105_000011_000012	奠盤府三縣
HVH_105_000011_000013	延慶縣七
HVH_105_000011_000014	和榮縣
HVH_105_000011_000015	五
HVH_105_000011_000016	售和梁
HVH_105_000011_000017	潍用八八五
HVH_105_000011_000018	十人乘
HVH_105_000011_000019	府在廣南之西夾接隘雲諸山與顺化连黎初版圖原
HVH_105_000011_000020	属化州中興初太王專制二處右取奠縣建府隸
