HVH_107_03_000006_000030	徒年限内老疾收费倒
HVH_107_03_000006_000031	年三百六十日半每日
HVH_107_03_000006_000032	已受致六十准去银四分五幢
HVH_107_03_000006_000033	剩徒一年银一錢五一
HVH_107_03_000006_000034	老疾指七十成以前及原無疾者言
HVH_107_03_000006_000035	之若七十及上及有廉疾则徒流皆
HVH_107_03_000006_000036	得收疾键限未确但比十岁
HVH_107_03_000006_000037	或成疾免徒以三百大十日
HVH_107_03_000006_000038	疾之例一也教旧亦如之诺犯罪在
HVH_107_03_000006_000039	飞九一忽六微六微零如已报
HVH_107_03_000006_000040	酒一百日住银二
HVH_107_03_000006_000041	分九一毫
HVH_107_03_000006_000042	六标六忽六六减零未役二百
HVH_107_03_000007_000001	六十日該数七分五八毫三
HVH_107_03_000007_000002	三三微四务
HVH_107_03_000007_000003	杖七十徒一年半全鼓銀一錢八
HVH_107_03_000007_000004	分七釐五毫除已爱杖七十准去
HVH_107_03_000007_000005	缴五分二釐五毫利徒一年半蔽
HVH_107_03_000007_000006	銀一钱三分五以一年半五
HVH_107_03_000007_000007	自四十日半日該銀二毫五
HVH_107_03_000007_000008	8
HVH_107_03_000007_000009	五未役酉百四十日照一
HVH_107_03_000007_000010	线一分
HVH_107_03_000007_000011	五除已杖十唯法级六分
HVH_107_03_000007_000012	剩年改暗银
HVH_107_03_000007_000013	钱六分五
HVH_107_03_000007_000014	銀九分六二七五
HVH_107_03_000007_000015	分二五毫除配慢散九叶去
HVH_107_03_000007_000016	銀六分七整五毫徒二年牛藏
HVH_107_03_000007_000017	皇州
HVH_107_03_000007_000018	卷二下
HVH_107_03_000007_000019	銀一九分五以二年流
HVH_107_03_000007_000020	北罪来老疾
HVH_107_03_000007_000021	百日為年日銀二毫一六
HVH_107_03_000007_000022	六级大即已般调三百
HVH_107_03_000007_000023	去銀六分五米六百日藏
HVH_107_03_000007_000024	数一三分
HVH_107_03_000007_000025	爱状一百去银七分五
HVH_107_03_000007_000026	三年二錢二分五三
HVH_107_03_000007_000027	年一千八十日率每日二
HVH_107_03_000007_000028	百六十日准去七分五应未
HVH_107_03_000007_000029	七百二十日
HVH_107_03_000007_000030	錢五分
HVH_107_03_000008_000001	粘没腻物
HVH_107_03_000008_000002	同入官者本保私物
HVH_107_03_000008_000003	入官典官不
HVH_107_03_000008_000004	凡彼此俱罪之腻
HVH_107_03_000008_000005	越收入官也官者
HVH_107_03_000008_000006	原是旨物美很官
HVH_107_03_000008_000007	犯禁之物
HVH_107_03_000008_000008	及禁書之颊
HVH_107_03_000008_000009	謂如應禁兵
HVH_107_03_000008_000010	則入官若取
HVH_107_03_000008_000011	與不和用强生事逼取求索之赋歸
HVH_107_03_000008_000012	合籍设财産款書到後罪维
HVH_107_03_000008_000013	在数火
HVH_107_03_000008_000014	海
HVH_107_03_000008_000015	訖
HVH_107_03_000008_000016	面家未曾抄割入官者鱼從赦免其
HVH_107_03_000008_000017	產
HVH_107_03_000008_000018	务巴未入馆
HVH_107_03_000008_000019	奥人
HVH_107_03_000008_000020	皇越律侧
HVH_107_03_000008_000021	巷三名倒下
HVH_107_03_000008_000022	呼学
HVH_107_03_000008_000023	七
HVH_107_03_000008_000024	给设账物
HVH_107_03_000008_000025	口维已入官者罪人
HVH_107_03_000008_000026	放
HVH_107_03_000008_000027	酒
HVH_107_03_000008_000028	得免者亦從
HVH_107_03_000008_000029	免放0若以贼入罪正贼见在者官
HVH_107_03_000008_000030	经如犯常窃
HVH_107_03_000008_000031	蕃息皆為
HVH_107_03_000008_000032	盛等胜本机正快球
HVH_107_03_000008_000033	别犯身死者亦同若不因罪而犯别
HVH_107_03_000008_000034	病充将家变赔
HVH_107_03_000008_000035	罪亦有應追财物加埋垄银雨之類
HVH_107_03_000008_000036	不用此身勿微之
HVH_107_03_000008_000037	律肆
HVH_107_03_000008_000038	同時便之長不一
HVH_107_03_000008_000039	地方之出不
HVH_107_03_000008_000040	贼者亦勿微其估贼者皆犯
HVH_107_03_000008_000041	故公起处當時物
HVH_107_03_000008_000042	有精粗價分费胺重
HVH_107_03_000008_000043	中等物價估計定罪若計
HVH_107_03_000008_000044	禁故中等
HVH_107_03_000008_000045	则失之刻輕失之
HVH_107_03_000008_000046	工錢者一人一日爲銀八分五五毫
HVH_107_03_000008_000047	其牛馬畜産車船店舍之類照依犯時
HVH_107_03_000008_000048	星工货值
HVH_107_03_000008_000049	计算定
HVH_107_03_000008_000050	罪追网
HVH_107_03_000008_000051	價錢雖多各不得過
HVH_107_03_000009_000001	其本價
HVH_107_03_000009_000002	得追货组一十一之類
HVH_107_03_000009_000003	其罰金銀照犯人原供成色從實
HVH_107_03_000009_000004	追微入官給主若已费用不存者追数
HVH_107_03_000009_000005	皇慧律创
HVH_107_03_000009_000006	卷三名制条
HVH_107_03_000009_000007	六
HVH_107_03_000009_000008	给度物
HVH_107_03_000009_000009	常教不原之罪或遇特恩蔽有分
HVH_107_03_000009_000010	人已决未决附项看如散青到日
