HVH_107_01_000012_000030	犯罪自首
HVH_107_01_000012_000031	二罪俱發以重論
HVH_107_01_000012_000032	犯罪共逊
HVH_107_01_000012_000033	同僚犯公罪
HVH_107_01_000012_000034	公事失错
HVH_107_01_000012_000035	其犯罪分首行
HVH_107_01_000012_000036	无罪事發在逊
HVH_107_01_000012_000037	親属相爲容
HVH_107_01_000012_000038	處央叛軍
HVH_107_01_000012_000039	化外人有犯
HVH_107_01_000012_000040	本條别有罪各
HVH_107_01_000012_000041	加减罪例
HVH_107_01_000012_000042	乘典車駕
HVH_107_01_000012_000043	稱期親父母
HVH_107_01_000012_000044	與同罪
HVH_107_01_000013_000001	稱整主守
HVH_107_01_000013_000002	稱日者以百刻
HVH_107_01_000013_000003	稱道士女冠
HVH_107_01_000013_000004	断罪依新颁律
HVH_107_01_000013_000005	罪無正條
HVH_107_01_000013_000006	徒流地方
HVH_107_01_000013_000007	充軍地方
HVH_107_01_000013_000008	吏律目錄其二十七条
HVH_107_01_000013_000009	联制青一十三條
HVH_107_01_000013_000010	官員发座
HVH_107_01_000013_000011	大臣享擅選官
HVH_107_01_000013_000012	文官不許封公侯
HVH_107_01_000013_000013	澄鼓官吏
HVH_107_01_000013_000014	信牌
HVH_107_01_000013_000015	貢舉非其人
HVH_107_01_000013_000016	舉用有過官吏
HVH_107_01_000013_000017	檀離職役
HVH_107_01_000013_000018	官員超任過限
HVH_107_01_000013_000019	無故不朝公
HVH_107_01_000013_000020	越律例
HVH_107_01_000013_000021	老之一律月
HVH_107_01_000013_000022	世
HVH_107_01_000013_000023	檀勾属官
HVH_107_01_000013_000024	女
HVH_107_01_000013_000025	上言大臣德政
HVH_107_01_000013_000026	公式青一十四条
HVH_107_01_000013_000027	講謂律令
HVH_107_01_000013_000028	制書有途
HVH_107_01_000013_000029	乘制書印信
HVH_107_01_000013_000030	上書奏事犯諱
HVH_107_01_000013_000031	事應奏不奏
HVH_107_01_000013_000032	使不復命
HVH_107_01_000013_000033	官文書程
HVH_107_01_000013_000034	照刷文卷
HVH_107_01_000013_000035	磨勘卷宗
HVH_107_01_000013_000036	同僚代判署文案
HVH_107_01_000013_000037	增藏官交書
HVH_107_01_000013_000038	.
HVH_107_01_000013_000039	封掌印信
HVH_107_01_000013_000040	漏使印信
HVH_107_01_000013_000041	擅用調兵印信
HVH_107_01_000013_000042	户律目錄其六千六条
HVH_107_01_000014_000001	户役
HVH_107_01_000014_000002	计一十一条
HVH_107_01_000014_000003	人户以籍爲定
HVH_107_01_000014_000004	隐涌丁口
HVH_107_01_000014_000005	私翔巷院及私度僧道立嫡子遮法
HVH_107_01_000014_000006	收留迷失于女
HVH_107_01_000014_000007	賦役不均
HVH_107_01_000014_000008	丁夫差遣不平
HVH_107_01_000014_000009	避差役
HVH_107_01_000014_000010	私役部民夫匠
HVH_107_01_000014_000011	别籍異财
HVH_107_01_000014_000012	卑匆私植用财
HVH_107_01_000014_000013	田宅計一十條
HVH_107_01_000014_000014	隐田检
HVH_107_01_000014_000015	检踏灸傷田
HVH_107_01_000014_000016	功臣田土
HVH_107_01_000014_000017	益寶田宅
HVH_107_01_000014_000018	任所置買田宅
HVH_107_01_000014_000019	典買田宅
HVH_107_01_000014_000020	皇藏律例
HVH_107_01_000014_000021	卷之月
HVH_107_01_000014_000022	生
HVH_107_01_000014_000023	盗耕称官民田
HVH_107_01_000014_000024	豪毁器物称精等
HVH_107_01_000014_000025	食田圆瓜果
HVH_107_01_000014_000026	私借官車船
HVH_107_01_000014_000027	婚姻青一十六级
HVH_107_01_000014_000028	男女婚姻
HVH_107_01_000014_000029	典属妻女
HVH_107_01_000014_000030	妻妾失序
HVH_107_01_000014_000031	逐婿嫁女
HVH_107_01_000014_000032	居丧嫁娶
HVH_107_01_000014_000033	父母囚禁嫁娶
HVH_107_01_000014_000034	同姓爲
HVH_107_01_000014_000035	尊里爲
HVH_107_01_000014_000036	娶親屬姜妾
HVH_107_01_000014_000037	娶部民婦女爲妻妾
HVH_107_01_000014_000038	娶逊走娜女
HVH_107_01_000014_000039	强占辰家妻女
HVH_107_01_000014_000040	僧道娶妻
HVH_107_01_000014_000041	良賤爲婚姻
HVH_107_01_000014_000042	出妻
HVH_107_01_000014_000043	嫁娶建律主婚媒人罪
HVH_107_01_000015_000001	倉庫
HVH_107_01_000015_000002	词二十二
HVH_107_01_000015_000003	收量限
HVH_107_01_000015_000004	私借钱量
HVH_107_01_000015_000005	虚出通關珠钞
HVH_107_01_000015_000006	多收税糧斛面
HVH_107_01_000015_000007	附除钱糧私下補数
HVH_107_01_000015_000008	私借官物
HVH_107_01_000015_000009	隐匿費用税課物
HVH_107_01_000015_000010	揽纳税量
HVH_107_01_000015_000011	那移出纳
HVH_107_01_000015_000012	库秤雇役侵欺
HVH_107_01_000015_000013	青支官
HVH_107_01_000015_000014	錢程互相党察
HVH_107_01_000015_000015	倉库不覺被盗
HVH_107_01_000015_000016	守支线糧反擅開官
HVH_107_01_000015_000017	出纳官物有连
HVH_107_01_000015_000018	妆支留
HVH_107_01_000015_000019	起解金銀足色
HVH_107_01_000015_000020	損壊倉庫财物
HVH_107_01_000015_000021	轉解官物
HVH_107_01_000015_000022	提断賦罰不当
HVH_107_01_000015_000023	皇越律例一卷之一目
HVH_107_01_000015_000024	四
HVH_107_01_000015_000025	十
HVH_107_01_000015_000026	守掌在官财物
HVH_107_01_000015_000027	隐瞒人官家產
HVH_107_01_000015_000028	课程词二价
HVH_107_01_000015_000029	匿税
HVH_107_01_000015_000030	舶商匿货
HVH_107_01_000015_000031	錢債計三
HVH_107_01_000015_000032	禁取利
HVH_107_01_000015_000033	费用受寄财產
HVH_107_01_000015_000034	市屋二
HVH_107_01_000015_000035	得遗失物
HVH_107_01_000015_000036	eu
HVH_107_01_000015_000037	祭祀自六停
HVH_107_01_000015_000038	把持行市
HVH_107_01_000015_000039	私造斛斗秤尺
HVH_107_01_000015_000040	禮律日錄共二十六
HVH_107_01_000015_000041	祭享
HVH_107_01_000015_000042	致大配印壇
HVH_107_01_000016_000001	致祭配典神底
HVH_107_01_000016_000002	歷代帝王陵寝
HVH_107_01_000016_000003	肆明
HVH_107_01_000016_000004	禁止師巫邪衔
HVH_107_01_000016_000005	钱制奇二十條
HVH_107_01_000016_000006	合和御藥
HVH_107_01_000016_000007	来奥服御物
HVH_107_01_000016_000008	收藏禁書
HVH_107_01_000016_000009	御賜衣物
HVH_107_01_000016_000010	失誤朝贺
HVH_107_01_000016_000011	失
HVH_107_01_000016_000012	奏對失序
HVH_107_01_000016_000013	朝见留難
HVH_107_01_000016_000014	上書陳言
HVH_107_01_000016_000015	禁止迎送
HVH_107_01_000016_000016	公差人員欺長官
HVH_107_01_000016_000017	服舍途式
HVH_107_01_000016_000018	追拜父毋
HVH_107_01_000016_000019	先古天象
HVH_107_01_000016_000020	街士安言幅
HVH_107_01_000016_000021	医父母夫豪
HVH_107_01_000016_000022	呈越律例一卷之一年月
HVH_107_01_000016_000023	五
HVH_107_01_000016_000024	十王
HVH_107_01_000016_000025	親之任
HVH_107_01_000016_000026	葬
HVH_107_01_000016_000027	御饮體
HVH_107_01_000016_000028	阻人家事新增
HVH_107_01_000016_000029	兵律目錄其五十八
HVH_107_01_000016_000030	宫衡舞一十六
HVH_107_01_000016_000031	太廟门擅入
HVH_107_01_000016_000032	宮殿門擅入
HVH_107_01_000016_000033	宿御守衞人私自代替從驾稽建
HVH_107_01_000016_000034	直行御道
HVH_107_01_000016_000035	内府工作人医替役
HVH_107_01_000016_000036	宫殿造作罷不出
HVH_107_01_000016_000037	出入宮殿門
HVH_107_01_000016_000038	防内使出入
HVH_107_01_000016_000039	向宫殿射箭
HVH_107_01_000016_000040	宿人兵仗
HVH_107_01_000016_000041	禁輕断人充宿
HVH_107_01_000016_000042	衝突儀仗
HVH_107_01_000016_000043	行宫營门
HVH_107_01_000017_000001	越城
HVH_107_01_000017_000002	门禁鎖
HVH_107_01_000017_000003	軍政十條
HVH_107_01_000017_000004	擅官軍
HVH_107_01_000017_000005	申報軍務
HVH_107_01_000017_000006	飛報軍情
HVH_107_01_000017_000007	漏泄軍情大事
HVH_107_01_000017_000008	境申索軍需
HVH_107_01_000017_000009	失誤軍事
HVH_107_01_000017_000010	從征莲期
HVH_107_01_000017_000011	軍人替役
HVH_107_01_000017_000012	主将不固守
HVH_107_01_000017_000013	縱軍携掠
HVH_107_01_000017_000014	不操練軍士
HVH_107_01_000017_000015	激发長民
HVH_107_01_000017_000016	私声罩器
HVH_107_01_000017_000017	毁莱軍器
HVH_107_01_000017_000018	私羲應禁軍器
HVH_107_01_000017_000019	縱放軍人歇役
HVH_107_01_000017_000020	公侯私役官軍
HVH_107_01_000017_000021	從征守禦官軍逃
HVH_107_01_000017_000022	越律例
HVH_107_01_000017_000023	一卷之一年目
HVH_107_01_000017_000024	六
HVH_107_01_000017_000025	法
HVH_107_01_000017_000026	優恤軍属
HVH_107_01_000017_000027	夜蔡
HVH_107_01_000017_000028	關津計五條
HVH_107_01_000017_000029	私越昌彦关津
HVH_107_01_000017_000030	詐冒給路引
HVH_107_01_000017_000031	關津留
HVH_107_01_000017_000032	盤洁姦
HVH_107_01_000017_000033	私出外境及禁下海
HVH_107_01_000017_000034	底妆前五僚
HVH_107_01_000017_000035	官馬不調習
HVH_107_01_000017_000036	宰殺馬牛
HVH_107_01_000017_000037	畜產踢人
HVH_107_01_000017_000038	隱匿享生官畜産
HVH_107_01_000017_000039	私借官畜產
HVH_107_01_000017_000040	郵驛一十二條
HVH_107_01_000017_000041	A
HVH_107_01_000017_000042	遮送公交
HVH_107_01_000017_000043	邀取實封公文
HVH_107_01_000018_000001	佣含损壊
HVH_107_01_000018_000002	私役铺兵
HVH_107_01_000018_000003	多支廪
HVH_107_01_000018_000004	文書應給面不給
HVH_107_01_000018_000005	公事應行稽程
HVH_107_01_000018_000006	占宿驿舍上房
HVH_107_01_000018_000007	私役民夫
HVH_107_01_000018_000008	病故官家回鄉
HVH_107_01_000018_000009	承差轉雇寄人
HVH_107_01_000018_000010	乘官畜產車船附私物
HVH_107_01_000018_000011	律目共一百六十六条
HVH_107_01_000018_000012	贼盗前二十八
HVH_107_01_000018_000013	反大逆
HVH_107_01_000018_000014	謀叛
HVH_107_01_000018_000015	造書言
HVH_107_01_000018_000016	盗大配脚御物
HVH_107_01_000018_000017	盗制書
HVH_107_01_000018_000018	益印信
HVH_107_01_000018_000019	盗内府财物
HVH_107_01_000018_000020	盗城門
HVH_107_01_000018_000021	皇越律例二卷之一维目
HVH_107_01_000018_000022	七
HVH_107_01_000018_000023	+七
HVH_107_01_000018_000024	盗軍器
HVH_107_01_000018_000025	盗園陵樹木
HVH_107_01_000018_000026	監守自盗倉庫錢检
HVH_107_01_000018_000027	常人益倉庫錢
HVH_107_01_000018_000028	强益
HVH_107_01_000018_000029	劫囚
HVH_107_01_000018_000030	白書舍奪
HVH_107_01_000018_000031	腐益
HVH_107_01_000018_000032	益馬牛畜産
HVH_107_01_000018_000033	盗田野蒙麥
HVH_107_01_000018_000034	親属相盗
HVH_107_01_000018_000035	恐取财
HVH_107_01_000018_000036	官司取财
HVH_107_01_000018_000037	人賣
HVH_107_01_000018_000038	發
HVH_107_01_000018_000039	夜無故入人家
HVH_107_01_000018_000040	盗賊窝主
HVH_107_01_000018_000041	共謀爲
HVH_107_01_000018_000042	公取取皆爲盗
HVH_107_01_000018_000043	起除刺字
HVH_107_01_000018_000044	人命計二十條
HVH_107_01_000019_000001	福
HVH_107_01_000019_000002	家
HVH_107_01_000019_000003	謝殺人
HVH_107_01_000019_000004	謀制使及本营長官
HVH_107_01_000019_000005	謝设服父母父母
HVH_107_01_000019_000006	殺夫
HVH_107_01_000019_000007	謀故大父母
HVH_107_01_000019_000008	殺一家三人
HVH_107_01_000019_000009	探生折割人
HVH_107_01_000019_000010	造畜蛊毒殺人
HVH_107_01_000019_000011	殿及故殺人
HVH_107_01_000019_000012	屏去人服食
HVH_107_01_000019_000013	戲殺誤殺過失殺傷人夫有罪妻妾
HVH_107_01_000019_000014	殺子孫及奴弹圖赖人弓箭傷人
HVH_107_01_000019_000015	車馬教傷入
HVH_107_01_000019_000016	庸醫发傷人
HVH_107_01_000019_000017	高号殺傷人
HVH_107_01_000019_000018	威通人致死
HVH_107_01_000019_000019	尊長爲人殺私和
HVH_107_01_000019_000020	同行知有謀害
HVH_107_01_000019_000021	殿計二十二條
HVH_107_01_000019_000022	皇越律例
HVH_107_01_000019_000023	卷之一月
HVH_107_01_000019_000024	八
HVH_107_01_000019_000025	六
HVH_107_01_000019_000026	保辜限期
HVH_107_01_000019_000027	宫内忿争
HVH_107_01_000019_000028	宗室親被
HVH_107_01_000019_000029	殿制使及本管長官佐職税属殿長官
HVH_107_01_000019_000030	上司官與税属官相敬
HVH_107_01_000019_000031	九品以上官殿長官
HVH_107_01_000019_000032	拒追攝人
HVH_107_01_000019_000033	敬爱亲师
HVH_107_01_000019_000034	威力制得人
HVH_107_01_000019_000035	良賤相
HVH_107_01_000019_000036	奴婢家長
HVH_107_01_000019_000037	妻妾夫
HVH_107_01_000019_000038	4
HVH_107_01_000019_000039	同姓親属相殿
HVH_107_01_000019_000040	大功以下尊長
HVH_107_01_000019_000041	期親尊長
HVH_107_01_000019_000042	胆父母父母
HVH_107_01_000019_000043	妻妾與夫親属相
HVH_107_01_000019_000044	妻前夫之子
HVH_107_01_000019_000045	妻妾故夫父母
HVH_107_01_000019_000046	父祖被
HVH_107_01_000020_000001	罵都八
HVH_107_01_000020_000002	马人
HVH_107_01_000020_000003	马制使及本管長官
HVH_107_01_000020_000004	佐联税属马長官
HVH_107_01_000020_000005	奴婢马家長
HVH_107_01_000020_000006	罵尊長
HVH_107_01_000020_000007	马厢父母父母
HVH_107_01_000020_000008	妻妾夫期親等長
HVH_107_01_000020_000009	妻妾马故夫父母
HVH_107_01_000020_000010	訴前一十一学
HVH_107_01_000020_000011	越訴
HVH_107_01_000020_000012	投医各文書告人罪
HVH_107_01_000020_000013	告状不受理
HVH_107_01_000020_000014	聽過避
HVH_107_01_000020_000015	告
HVH_107_01_000020_000016	干各犯義
HVH_107_01_000020_000017	于孫遗犯教令
HVH_107_01_000020_000018	見禁囚不得告舉他事
HVH_107_01_000020_000019	教詞讼
HVH_107_01_000020_000020	軍民約會詞訟
HVH_107_01_000020_000021	皇越律例
HVH_107_01_000020_000022	卷之一目
HVH_107_01_000020_000023	九
HVH_107_01_000020_000024	十九
HVH_107_01_000020_000025	官吏詞家人訴
HVH_107_01_000020_000026	受前九条
HVH_107_01_000020_000027	官吏受财
HVH_107_01_000020_000028	坐赋致罪
HVH_107_01_000020_000029	事後受財
HVH_107_01_000020_000030	官吏聽許财物
HVH_107_01_000020_000031	有事财请求
HVH_107_01_000020_000032	在官求索借贷人财物
HVH_107_01_000020_000033	家人求索
HVH_107_01_000020_000034	因公科
HVH_107_01_000020_000035	留盗
HVH_107_01_000020_000036	#简前一十一條
HVH_107_01_000020_000037	菲爲俩書
HVH_107_01_000020_000038	詳傳招書
HVH_107_01_000020_000039	對制上書詐不以實偽造印信時憲書笔
HVH_107_01_000020_000040	私铸銅錢
HVH_107_01_000020_000041	詐假官
HVH_107_01_000021_000001	非狮内使等官
HVH_107_01_000021_000002	近侍菲私行
HVH_107_01_000021_000003	詳爲瑞
HVH_107_01_000021_000004	詐病光傷避事
HVH_107_01_000021_000005	詐教誘人犯法
HVH_107_01_000021_000006	犯姦前九条
HVH_107_01_000021_000007	犯
HVH_107_01_000021_000008	容妻妾犯姦
HVH_107_01_000021_000009	親属相象
HVH_107_01_000021_000010	執翁姦
HVH_107_01_000021_000011	加及雇工人家長妻部民婦女
HVH_107_01_000021_000012	居丧及僧道犯
HVH_107_01_000021_000013	夏相姦
HVH_107_01_000021_000014	官吏宿
HVH_107_01_000021_000015	雜犯前一十一
HVH_107_01_000021_000016	折申明亭
HVH_107_01_000021_000017	未匠軍士病給骨藥
HVH_107_01_000021_000018	皇越律倒
HVH_107_01_000021_000019	卷之一律目
HVH_107_01_000021_000020	十
HVH_107_01_000021_000021	干
HVH_107_01_000021_000022	博
HVH_107_01_000021_000023	閣割火者
HVH_107_01_000021_000024	托公事
HVH_107_01_000021_000025	私和公事
HVH_107_01_000021_000026	失火
HVH_107_01_000021_000027	放火故烧人房屋
HVH_107_01_000021_000028	搬做雜劇
HVH_107_01_000021_000029	遗令
HVH_107_01_000021_000030	不應爲
HVH_107_01_000021_000031	捕亡計八条
HVH_107_01_000021_000032	應捕人追捕罪人
HVH_107_01_000021_000033	罪人拒捕
