HVH_107_02_000007_000023	十亞
HVH_107_02_000008_000001	八議
HVH_107_02_000008_000002	一曰議親
HVH_107_02_000008_000003	謂皇家祖免以上親及太皇太
HVH_107_02_000008_000004	后皇太后親麻以上親皇后小
HVH_107_02_000008_000005	功以上
HVH_107_02_000008_000006	親皇太子
HVH_107_02_000008_000007	妃大功以上親
HVH_107_02_000008_000008	天滿分派義重親親故自祖免以上
HVH_107_02_000008_000009	二后則自總麻皇后則自小功大子
HVH_107_02_000008_000010	妃則自大功分有尊禮
HVH_107_02_000008_000011	有隆殺此議親之差等也
HVH_107_02_000008_000012	二曰議故
HVH_107_02_000008_000013	侍見待蒙恩待日义者
HVH_107_02_000008_000014	謂皇家故舊之人素得
HVH_107_02_000008_000015	故舊謂從龍輔佐之人若寵幸之
HVH_107_02_000008_000016	臣即始終無閒亦不得謂之故也
HVH_107_02_000008_000017	三曰議功
HVH_107_02_000008_000018	謂能斬將奪旗摧降萬里成率
HVH_107_02_000008_000019	眾來歸寧清一時或開拓體字
HVH_107_02_000008_000020	有大勳勞銘
HVH_107_02_000008_000021	功太常者
HVH_107_02_000008_000022	斬將舉旗權敵之鋒刀於萬里之外
HVH_107_02_000008_000023	是言戰功如此指一事也率未附之衆
HVH_107_02_000008_000024	東身歸朝國家免於征伐百姓得以
HVH_107_02_000008_000025	保全故曰寧濟一時亦指一事也太
HVH_107_02_000008_000026	皇越律例
HVH_107_02_000008_000027	一卷二名倒律上
HVH_107_02_000008_000028	七
HVH_107_02_000008_000029	八歲
HVH_107_02_000008_000030	常旗也古者人臣有大功
HVH_107_02_000008_000031	勞則書於太常以引駕也
HVH_107_02_000008_000032	四曰議贒
HVH_107_02_000008_000033	其言行可以爲法則者
HVH_107_02_000008_000034	謂有大德行之賢人君子
HVH_107_02_000008_000035	賈誼曰廉耻禮節以治君子有
HVH_107_02_000008_000036	賜死而無戮辱即識贒之意也
HVH_107_02_000008_000037	五曰議能
HVH_107_02_000008_000038	謂有大才業能整軍旅治
HVH_107_02_000008_000039	政事爲帝王之艮輔佐者
HVH_107_02_000008_000040	賢止言立德修行之人能必見之軍
HVH_107_02_000008_000041	辰政事寔有大才幹非尋常所能及
