HVH_091_000017_000007	魚朝穴而前文星一字以為案逆水到申巽水救貧貴顯丁
HVH_091_000017_000008	財代不絶是顧翰林之地傳後來不可移易
HVH_091_000017_000009	圖見後
HVH_091_000017_000010	謹按我族所以獲憑祖至於蕃衍盛大盖本於此雖云
HVH_091_000017_000011	得地根于隂德而風水先生之功實亦不可忘也嗣今本族
HVH_091_000017_000012	宜定例以𮞏年春祀臘祀夏秋二懺等禮附請陶祖妣墳
HVH_091_000017_000013	風水師顱翰林先生配享以昭厚道
HVH_091_000017_000014	例自伊節為
HVH_091_000017_000015	乙未年二月初陸日巳與本甲定
HVH_091_000017_000016	福盛公福良公季男正室陶貴氏號慈美
HVH_091_000017_000017	甲后
HVH_091_000017_000018	大本牛
HVH_091_000017_000019	本生三男長能
HVH_091_000017_000020	次能氣季福正
HVH_091_000017_000021	第七代誌
HVH_091_000017_000022	法祿公福位公長男正室陳貴氏號妙實生三男長法緣次
HVH_091_000018_000001	能德季法進公為法門師故道號玄廣自公至仕傅公
HVH_091_000018_000002	四世相傳為法門師
HVH_091_000018_000003	亦為名法門
HVH_091_000018_000004	今又有次玄孫能生
HVH_091_000018_000005	陳氏作本村后佛
HVH_091_000018_000006	興隆公號福輝福位公次男正室陳氏號妙廣生四男長能燦
HVH_091_000018_000007	次仲鏗能佳伯楊
HVH_091_000018_000008	興奠公闕諱號福依福位公季男
HVH_091_000018_000009	力良村捫亭處女玄孫氏之用坚乾向
HVH_091_000018_000010	八忌辰六月初九日墳塟本縣中青威社茂
HVH_091_000018_000011	後倚金星為桃正
HVH_091_000018_000012	前以金显為乗
HVH_091_000018_000013	正室大清國福建省福州府龍田縣龍田社掌财
HVH_091_000018_000014	錄官副使孽公之女號妙長
HVH_091_000018_000015	音塲諱等忌辰五月初八日墳塟
HVH_091_000018_000016	處木形土阜之西極處坐丁向癸
HVH_091_000018_000017	癸生三
HVH_091_000018_000018	男六女長男伯益次仲從季仲語
HVH_091_000018_000019	口著仲字自此始
HVH_091_000018_000020	我命名中字
HVH_091_000018_000021	女氏平嫁本村
HVH_091_000018_000022	鄭氏氏遠嫁本村譚氏氏求嫁本社大慈中村陳氏行次行三
HVH_091_000018_000023	號妙張以
HVH_091_000018_000024	以其無子仝族祀守故也餘倣此
HVH_091_000018_000025	民忌辰九月十九日墳塟處今本村迎年新祈福米田凡女子註墳忘
HVH_091_000018_000026	行四號妙寧
HVH_091_000018_000027	詳見後
HVH_091_000018_000028	墳墓忌諱
HVH_091_000018_000029	諦號淑女行
HVH_091_000018_000030	如行次亦未詳
HVH_091_000018_000031	九辰六月初九日
HVH_091_000018_000032	公黎朝進封贈茂林郎
HVH_091_000018_000033	少鄉伯爵
HVH_091_000018_000034	伯
HVH_091_000018_000035	小清壽我
HVH_091_000018_000036	商我族蒙朝廷封贈自公始
HVH_091_000018_000037	公第四女號妙寧諱桃字日謚清潔生於戊子年九月十四日
HVH_091_000018_000038	甲時享齡五十歲卒於丁生年十月初一日塟𡏢㙁處今本
HVH_091_000018_000039	甲后田夫人少有姿色黎朝時八侍鄭西王宫以勤敏得寵
HVH_091_000018_000040	特賜美良容郡夫人我族女子發貴自夫人始夫人在府時
HVH_091_000019_000001	以睦族親鄰為念中間會府中有凌夫人告歸本里
HVH_091_000019_000002	本村推保為后神及本縣超群社追想夫人常有功德及
HVH_091_000019_000003	伊社者亦協保為后神凡祭祀配于大王左班具有記夫
HVH_091_000019_000004	人養青池瓊雷人勾稽阮名儒為子及臨没自念以親
HVH_091_000019_000005	親爲重乃以胞弟有壽公與親侄伯史為嗣并分刪田土與
HVH_091_000019_000006	胞兄弟伯益公仲從公各有差現在交書凡𮞏年忌臘本
HVH_091_000019_000007	族均給行禮𮞏在祠堂而本村祭在祠宇
HVH_091_000019_000008	亭址之側在焉
HVH_091_000019_000009	焉走
HVH_091_000019_000010	祠亨在本村唱
HVH_091_000019_000011	群社祭在伊社廟至如名儒一時螟蛤不足論也
HVH_091_000019_000012	謹按我少卿公以指揮使公之孫官員子公之子而三男一
HVH_091_000019_000013	二該合六女一郡夫人餘亦皆豪富之家盖我族旣我鄉
HVH_091_000019_000014	第一鉅族而公家又我族第一髙門也雖文猶不足功行
HVH_091_000019_000015	今不得聞而其福蔭之厚從可徵矣
HVH_091_000019_000016	能富公號福順福盛公長男正室號妙和生二男長能日次能
HVH_091_000019_000017	如能日公字福明正室號慈德
HVH_091_000019_000018	福兼公福盛公次子正室譚氏號妙容生指慈
HVH_091_000019_000019	福正公福盛公季子正室阮貴氏號慈孝
HVH_091_000019_000020	子以蜂石公季男廷金以交本
HVH_091_000019_000021	子两貢塟黄蛇局各疊
HVH_091_000020_000001	甲守墓迎年臘祭日上
HVH_091_000020_000002	例委長盤六員掃墓
HVH_091_000020_000003	生二男一女長男能有次廷金女嫁黎朝同知府
HVH_091_000020_000004	員闕姓公以季子廷金事黎朝蒙進封贈英烈將单都總兵
HVH_091_000020_000005	使司都總兵使侯爵賜謚福正阮貴氏蒙封贈貞人賜謚
HVH_091_000020_000006	貞順竝為本村后神置田園建祠宇于本村伟寺後墨
HVH_091_000020_000007	之外以為村民奉祀之所
HVH_091_000020_000008	移建于公所置田之外間今在焉
HVH_091_000020_000009	卜祠宇明命初年本村人謂壓仰守龍脉
HVH_091_000020_000010	脉能有
HVH_091_000020_000011	公號法潤嘗為饒夫正室號妙澤生三女能有公夫婦竝本
HVH_091_000020_000012	甲后
HVH_091_000020_000013	第八代誌
HVH_091_000020_000014	法緣公道號玄榮法祿公長男正室譚貴氏號妙福生四男
HVH_091_000020_000015	長法門次能智又次能體季能事能體公號法明能事公
HVH_091_000020_000016	號法事
HVH_091_000020_000017	能德公號福盛法祿公次男正室譚氏號妙財生四男長純智次
HVH_091_000020_000018	生美又次純信季世富生美公號福錦正室吳氏號妙蘭本甲大后
HVH_091_000020_000019	法進公號道泰法祿公季男正室譚氏號妙請生二男長能義
HVH_091_000020_000020	次仲來仲來公號温雅正室段氏暖
HVH_091_000020_000021	能公號福求興隆公長男正室劉氏號妙信生三男長仲洪
HVH_091_000021_000001	次仲書季仲謙公黎朝知事八錢買爵也凡黎朝知事倣此
HVH_091_000021_000002	能佳公謚忠實興隆公次男正室段氏號妙廣公黎朝司天
HVH_091_000021_000003	監我官司天監自公始
HVH_091_000021_000004	伯益公號福全謚忠實興奠公長男正室段氏貴號妙評生
HVH_091_000021_000005	六男長伯模次伯好三伯史四伯㑹五伯𨷑六文毳伯史命為郡
HVH_091_000021_000006	夫人嗣公以将門華胄講習武藝頗有文學於是奮志事
HVH_091_000021_000007	業柔蓬慷慨綽有曾祖之風黎朝時以武舉奉殿前
HVH_091_000021_000008	出身歷從戎務有軍功官至隨號管率應捷奇伯爵
HVH_091_000021_000009	益壽六
HVH_091_000021_000010	伯
HVH_091_000021_000011	亦蒙賜職衘四岐縣縣丞入錢買爵也
HVH_091_000021_000012	仲從公號福久興奠公中子正室鄭氏號妙綏生仲科公黎朝
HVH_091_000021_000013	該合八錢買爵也
HVH_091_000021_000014	也詣合做此
HVH_091_000021_000015	也凡潮
HVH_091_000021_000016	鄭氏為本村后佛
HVH_091_000021_000017	有壽公號福信興奠公季男
HVH_091_000021_000018	公生於丁未年享外七十一丁巳年七月初八日
HVH_091_000021_000019	力命終墳塟堪裴處今次操仲儲之田生向朝
HVH_091_000021_000020	正室鄭貴氏號妙膜
HVH_091_000021_000021	大諱織忌辰六月初一日墳莖處亦在
HVH_091_000021_000022	祖妣號慈在墳之而附于其田之西南角
HVH_091_000021_000023	角生三男三如長
HVH_091_000021_000024	仲講次仲秀三正理長女氏坎嫁本村譚氏次氏宫嫁本村
HVH_091_000021_000025	阮氏季氏兌號美行
HVH_091_000021_000026	美行
HVH_091_000021_000027	丁音字行三忘辰正月二十日墳塟攝㙁處今
HVH_091_000021_000028	祖弟府公春火田南畔自東而效第二墳是也
HVH_091_000021_000029	亞室鄧
HVH_091_000021_000030	氏號妙實生四男仲瑶仲蓮仲奉仲萊公黎朝奉侍濟生堂
HVH_091_000022_000001	院該合為親姊郡夫人嗣按哉揆諱字呼惟有壽公為得休再
HVH_091_000022_000002	能如公號福新能富公之子正室號妙茶生能顯之父闕名
HVH_091_000022_000003	揖慈公號純厚福兼公之子正室段氏號慈駕生二男長德院
HVH_091_000022_000004	次德茂
HVH_091_000022_000005	廷金公字福道號寬恕謚光顯福正公季子
HVH_091_000022_000006	塟本社大慈中村地分
HVH_091_000022_000007	今蜂石方墳是兼付伊
HVH_091_000022_000008	村守墳奉春祀禮忌辰六月
HVH_091_000022_000009	三十月付本社大慈上村報禮
HVH_091_000022_000010	公丰姿俊俏幹局瑰竒家貧早失怙情
HVH_091_000022_000011	少年寒苦殆甚而自弱冠時識者咸以寧馨羨之朝
HVH_091_000022_000012	時以中官八侍鄭王府敷奏復逆明辨詳悉主帥稱其敏上
HVH_091_000022_000013	司愛其勤僚友讓其能輿人慕其義其居官之際鏄隙滲
