HVH_107_16_000011_000034	有别
HVH_107_16_000011_000035	也
HVH_107_16_000011_000036	條例
HVH_107_16_000011_000037	一鲁經考察考覆被劾人员若快挟私念
HVH_107_16_000011_000038	携拾察覆官员别项赋私不干已事奏
HVH_107_16_000011_000039	告以圖報役者不分現任去任文武官
HVH_107_16_000011_000040	俱革職民已革者問罪奏告情詞不
HVH_107_16_000011_000041	問虚實立案不行
HVH_107_16_000012_000001	一营客商就於各處買賣生理若有負
HVH_107_16_000012_000002	欠钱债等项事情止許於所在官司陳
HVH_107_16_000012_000003	告提問發落若有越赴京奏告者問
HVH_107_16_000012_000004	罪遞回奏告情詞不問虛實立案不行
HVH_107_16_000012_000005	皇越律侧卷天
HVH_107_16_000012_000006	土
HVH_107_16_000012_000007	新首
HVH_107_16_000013_000001	名文書告人罪
HVH_107_16_000013_000002	集北涤圆重题名
HVH_107_16_000013_000003	无重告人罪语是
HVH_107_16_000013_000004	儿隐姓名文書告言人罪者
HVH_107_16_000013_000005	之错不曾肝禁
HVH_107_16_000013_000006	江所之人
HVH_107_16_000013_000007	姓名皆典不合
HVH_107_16_000013_000008	坐见者便绕若
HVH_107_16_000013_000009	监疾雄
HVH_107_16_000013_000010	不得多
HVH_107_16_000013_000011	官司者杖八十官司受而爲理者
HVH_107_16_000013_000012	百被告言者
HVH_107_16_000013_000013	技聘
HVH_107_16_000013_000014	於方
HVH_107_16_000013_000015	能建典
HVH_107_16_000013_000016	交書捉褒解官者官給銀一十雨克賞
HVH_107_16_000013_000017	宿告者勿输若說易他人她各詞
HVH_107_16_000013_000018	木牌进入两不名字人得罪者
HVH_107_16_000013_000019	普依此律校其或保泛常男之語及
HVH_107_16_000013_000020	雄有匿各文書尚無投官报者不
HVH_107_16_000013_000021	律
HVH_107_16_000013_000022	儿羅人之陰私過恶作交書不
HVH_107_16_000013_000023	自指實陈告而隐匿已之性名成控
HVH_107_16_000013_000024	皇律侧
HVH_107_16_000013_000025	春六
HVH_107_16_000013_000026	制华
HVH_107_16_000013_000027	三
HVH_107_16_000013_000028	投照名文書告人
HVH_107_16_000013_000029	法也其见有匿名文書者便
HVH_107_16_000013_000030	造名或能托他人技官府以告
HVH_107_16_000013_000031	.
HVH_107_16_000013_000032	党察易于網故捉者有輪之
HVH_107_16_000013_000033	法
HVH_107_16_000013_000034	條侧
HVH_107_16_000013_000035	一几布散匿名揭帖及投部院衙门者
HVH_107_16_000013_000036	俱不难行仍将投退之人拿送刑部照
HVH_107_16_000014_000001	倒治罪不行送者交該部議處接受
HVH_107_16_000014_000002	褐帖具题及理者章職若不肖官員
HVH_107_16_000014_000003	陵使恶棍粘帖揭帖或合有散投者
HVH_107_16_000014_000004	共犯人罪同如該官不嚴加别
HVH_107_16_000014_000005	有發党者俱交該部分别議處营兵及
HVH_107_16_000014_000006	司坊衙役加三箇月杖一百
HVH_107_16_000014_000007	禁軍侍直與民人姦匪交結起意寫
HVH_107_16_000014_000008	匿名揭便陷平人者凝较立决爲從
HVH_107_16_000014_000009	民人杖一百流三千里如民人起意爲
HVH_107_16_000014_000010	首仍照律提校监候為從侍
HVH_107_16_000014_000011	一几恶之徒不知國家事務捏造悖謬
HVH_107_16_000014_000012	皇越律侧
HVH_107_16_000014_000013	卷大
HVH_107_16_000014_000014	刑律
HVH_107_16_000014_000015	三
HVH_107_16_000014_000016	投医名文書告人平
HVH_107_16_000014_000017	言詞投貼匿各揭帖者將投貼之人
HVH_107_16_000014_000018	校立决知而不首者杖一百流三千里
HVH_107_16_000014_000019	旁人出首者授以官職奴僕出首者開
HVH_107_16_000014_000020	户控造葬常謬妄言詞無關國家事務
HVH_107_16_000014_000021	者依律校候
HVH_107_16_000015_000001	告状不受理
HVH_107_16_000015_000002	几告謀友叛逆官司不即受理掩捕者
HVH_107_16_000015_000003	关本
HVH_107_16_000015_000004	维不
HVH_107_16_000015_000005	杖一百徒三年
HVH_107_16_000015_000006	因不爱
HVH_107_16_000015_000007	理掩捕
HVH_107_16_000015_000008	以致聚
HVH_107_16_000015_000009	盈
HVH_107_16_000015_000010	候
HVH_107_16_000015_000011	若告恶道
HVH_107_16_000015_000012	子#收
HVH_107_16_000015_000013	不受理者
HVH_107_16_000015_000014	杖一百告教人及强盗不受理者放入
HVH_107_16_000015_000015	十婚姻田宅等事不受理者各减
HVH_107_16_000015_000016	犯人罪二等业罪止杖入十受
HVH_107_16_000015_000017	被告财
HVH_107_16_000015_000018	者計賊以枉法
HVH_107_16_000015_000019	罪典不
HVH_107_16_000015_000020	爱理罪
HVH_107_16_000015_000021	從重論若詞
HVH_107_16_000015_000022	訟原告被論
HVH_107_16_000015_000023	告
HVH_107_16_000015_000024	即
HVH_107_16_000015_000025	被
HVH_107_16_000015_000026	在雨處州縣者聽原
HVH_107_16_000015_000027	告就被論体官司告歸結
HVH_107_16_000015_000028	司自分依
HVH_107_16_000015_000029	其各該官
HVH_107_16_000015_000030	皇越律例
HVH_107_16_000015_000031	春天
HVH_107_16_000015_000032	刑律
HVH_107_16_000015_000033	西
HVH_107_16_000015_000034	告北不爱理
HVH_107_16_000015_000035	事情輕重及爱
HVH_107_16_000015_000036	財在法從重
HVH_107_16_000015_000037	若各部院督换及分
HVH_107_16_000015_000038	司歷去處應有詞訟未經本管官司
HVH_107_16_000015_000039	陈告及
HVH_107_16_000015_000040	维陈
HVH_107_16_000015_000041	告面
HVH_107_16_000015_000042	本宗公事未結施者聽
HVH_107_16_000015_000043	部院
HVH_107_16_000015_000044	等官
HVH_107_16_000015_000045	置簿立限当該官司追問取具
HVH_107_16_000015_000046	歸結缘由勾銷若有运
HVH_107_16_000015_000047	等官
HVH_107_16_000015_000048	舉行政正者当該官吏同罪交書
HVH_107_16_000015_000049	者依
HVH_107_16_000015_000050	不共决以致航误公事者十
HVH_107_16_000015_000051	其已经本管宫可陳告不受理及本
HVH_107_16_000015_000052	宗公事绝理断不當稱訴冤狂者
HVH_107_16_000015_000053	街門便勾問若推故不理及
HVH_107_16_000015_000054	*
HVH_107_16_000016_000001	委有司或仍原問官司收問者依
HVH_107_16_000016_000002	告状不受理律論罪若
HVH_107_16_000016_000003	本售
HVH_107_16_000016_000004	衙门
HVH_107_16_000016_000005	追問詞
HVH_107_16_000016_000006	訟及大小公事
HVH_107_16_000016_000007	上
HVH_107_16_000016_000008	司批锁
HVH_107_16_000016_000009	衙門歸結不得轉行此委
HVH_107_16_000016_000010	已失放者同罪未决放裁等使罪抵
HVH_107_16_000016_000011	從
HVH_107_16_000016_000012	流
HVH_107_16_000016_000013	謀謀叛臣子有聞所当迫切
HVH_107_16_000016_000014	不掩辅做势聚聚作
HVH_107_16_000016_000015	攻附城及人民者新
HVH_107_16_000016_000016	所不原者故告不受理者一百次
HVH_107_16_000016_000017	则脆天論關係風化十恶中常
HVH_107_16_000016_000018	越律例一卷刑
HVH_107_16_000016_000019	面段人及强盗則害及身响调及一
HVH_107_16_000016_000020	家民生敢切之事故不受理者权入
HVH_107_16_000016_000021	五
HVH_107_16_000016_000022	告获不受理
HVH_107_16_000016_000023	十下而版開婚烟宅等事原告有
HVH_107_16_000016_000024	受害之情被論相虑得之果不受
HVH_107_16_000016_000025	者然所犯程重各藏犯人罪二一等
HVH_107_16_000016_000026	止杖人十以七皆指其道
HVH_107_16_000016_000027	者言也若受艰满人财腑面不受理
HVH_107_16_000016_000028	者入已之在法不受理
HVH_107_16_000016_000029	者罪如之前算内各项不受
HVH_107_16_000016_000030	建罪科之部院等官题屋去
HVH_107_16_000016_000031	有軍民未程在体管官同
HVH_107_16_000016_000032	告剧非官可不受理也已陈告面本
HVH_107_16_000016_000033	宗公事未错则不即官同理
HVH_107_16_000016_000034	可追问取具指由若有
HVH_107_16_000016_000035	期失出入則當鼓官司各有應得
HVH_107_16_000016_000036	罪其
HVH_107_16_000016_000037	已陈告面不受理已
HVH_107_16_000016_000038	结同败
HVH_107_16_000017_000001	而不当理者告到各門即更勾間
HVH_107_16_000017_000002	若推托事故面不受理及轉委别衔
HVH_107_16_000017_000003	照被論人所犯轻重罪各以坐之
HVH_107_16_000017_000004	條例
HVH_107_16_000017_000005	一地方官自理司訟有任意拖延使民朝
HVH_107_16_000017_000006	夕聽侯以致廢時失牵連無辜小事
HVH_107_16_000017_000007	累及婦女甚至賣妻子者該管上司
HVH_107_16_000017_000008	即行题恭若上司徇庇不参或被人首
HVH_107_16_000017_000009	告或被科道料参将該管各上司一併
HVH_107_16_000017_000010	交與該部從重議處
HVH_107_16_000017_000011	皇越律例二卷六刑律
