HVH_107_18_000007_000024	言
HVH_107_18_000008_000001	靓属相姦
HVH_107_18_000008_000002	舞注親属捐律立
HVH_107_18_000008_000003	凡姦同宗無服之親及無服親之妻者爷
HVH_107_18_000008_000004	法至女不言嫁
HVH_107_18_000008_000005	万不自岗出
HVH_107_18_000008_000006	杖一百
HVH_107_18_000008_000007	者麻以上
HVH_107_18_000008_000008	新盈侯
HVH_107_18_000008_000009	仍须在室前出仍
HVH_107_18_000008_000010	依本学一重则
HVH_107_18_000008_000011	及麻以上親之妻若妻前夫之交同
HVH_107_18_000008_000012	無不重律之创也
HVH_107_18_000008_000013	母異艾姊妹者各杖一百徙三年强者
HVH_107_18_000008_000014	母版
HVH_107_18_000008_000015	姑徒父姊妹毋之姊妹及兄弟
HVH_107_18_000008_000016	妻兄弟子妻者婚
HVH_107_18_000008_000017	前若父祖妾伯叔母姊
HVH_107_18_000008_000018	依母之
HVH_107_18_000008_000019	皇律例卷十九
HVH_107_18_000008_000020	七
HVH_107_18_000008_000021	靓屬
HVH_107_18_000008_000022	姦夫
HVH_107_18_000008_000023	验
HVH_107_18_000008_000024	者
HVH_107_18_000008_000025	女效夫
HVH_107_18_000008_000026	监候其婦女同坐不同坐及未成
HVH_107_18_000008_000027	嘉媒合容等件各詳载记律
HVH_107_18_000008_000028	面峰早
HVH_107_18_000008_000029	权母即
HVH_107_18_000008_000030	交
HVH_107_18_000008_000031	国做堂
HVH_107_18_000008_000032	无
HVH_107_18_000008_000033	第
HVH_107_18_000008_000034	之
HVH_107_18_000008_000035	小
HVH_107_18_000009_000001	功服也從祖始即父同潮堂在
HVH_107_18_000009_000002	室小功出你想摩原也從父姊妹
HVH_107_18_000009_000003	旭之同堂券在室大功出缘小
HVH_107_18_000009_000004	丙惟出始伯权监候
HVH_107_18_000009_000005	功服也以土有犯者男各决
HVH_107_18_000009_000006	重與也。若之伯椒母
HVH_107_18_000009_000007	裂矣無可复加亦止於断。各減
HVH_107_18_000009_000008	两外规以上親之变各杖九十徒
HVH_107_18_000009_000009	二年半徒祖反祖伯叔之麦伯叔
HVH_107_18_000009_000010	皇慧律倒
HVH_107_18_000009_000011	卷十八律
HVH_107_18_000009_000012	八
