HVH_102_000013_000013	則誰司之界皆日擴擴日此事至重吾党運命全繫之吾一人不敢
HVH_102_000013_000014	當請以堅兼主之奮為輔吾力所及吾惟諸公是聽皆日善堅日
HVH_102_000013_000015	兄弟以謀主委吾爱吾至甚但吾智有不逮兄弟随時教之母分
HVH_102_000013_000016	苟如此
HVH_102_000013_000017	哈域酒知吾曹五十人如一人耳皆曰其善日吾無他能吾赳夕一武
HVH_102_000013_000018	何事
HVH_102_000013_000019	不成
HVH_102_000013_000020	夫湯火天石必躬先之吾即以此报兄弟使吾往吾往矣皆曰甚善
HVH_102_000013_000021	堅日今日所最先辨理者二事一日聚集之地然一日起事之經費擴
HVH_102_000014_000001	曰吾有山寒数十间山田数千吾先人世雄其间吴賊鹰狗耳目所不
HVH_102_000014_000002	及即捐為吾党臨時立脚地所藏票米尚可充得数萬贯钱即以一半
HVH_102_000014_000003	為起事資一半可支一年徐圖牆充則惟諸兄之力累皆鼓掌日
HVH_102_000014_000004	甚善甚善堅曰吾但知美務尽其対吾國吾種之天我無所謂名位
HVH_102_000014_000005	扶立雖然結一團体不可無总代表人擴公世马土豪又為皇裔望所歸
HVH_102_000014_000006	寨主請推擴公為寨主遇有交涉及其他命令寨主当之眾皆日諾大贊
HVH_102_000014_000007	成堅曰北當辨者曰軍共械沾蓝江雨岸諸漁村苦吴官漁船税重多
HVH_102_000014_000008	不樂從及沿山諸獵戶多勇士悍夫今若得胆試善誰者同歷各處審
HVH_102_000014_000009	擇此中健兒陰招八寨歸寨訓練致年之後可以成軍誰任此者零皆
HVH_102_000014_000010	曰精精日諾堅曰今則械事初萌芽田獵所有刀槍颇能支應顧吾
HVH_102_000014_000011	党力求進步非器械有備未可吴賊试村来村治工為吾省最東城
HVH_102_000014_000012	缺礦產铁最良今得一人往良幢招治工彼不願者可之去得十
HVH_102_000014_000013	人則鑄材足鉄有者可往東城買之後另有計誰任此者未
HVH_102_000014_000014	対熾日吾任之請力與偕力日坚日吾曹所辨事尚多時未至未可宣
HVH_102_000014_000015	明日請畢集於擴公寨行開寨礼礼畢各分途辦理前事票皆日諾
HVH_102_000014_000016	遂散會清漳縣之極西夾哀牢俯瞰蓝江倚列帳峯為壁濃林
HVH_102_000015_000001	76
