HVH_107_15_000007_000019	獲及超後地保人等指報該营官即行
HVH_107_15_000007_000020	带領件作親往發看訊取確供定限保
HVH_107_15_000007_000021	辜不許扛撞赴驗加有進侧者將
HVH_107_15_000007_000022	建例基之親属與不行阻止之地保
HVH_107_15_000007_000023	各照令律管五十因面致傷生
HVH_107_15_000007_000024	者各照不應重律杖入十倘内外該
HVH_107_15_000007_000025	衙門遇有傷重不能動履之人們令
HVH_107_15_000008_000001	掩聽候驗看者各該上司察實指参交
HVH_107_15_000008_000002	部議處
HVH_107_15_000008_000003	一州縣承審受傷及畏罪自案件
HVH_107_15_000008_000004	一面揆醫詞治速痊一面訊取確供提
HVH_107_15_000008_000005	集案纪即行審理全结不行以傷產之
HVH_107_15_000008_000006	日起限如有藉詞扣展致有连延拖累
HVH_107_15_000008_000007	者照例查参處
HVH_107_15_000008_000008	一凡僧人逞命死由致命重傷者雖
HVH_107_15_000008_000009	在保事限外十日之内不得輕議
HVH_107_15_000008_000010	一凡段之案除原殴並非致命之處又
HVH_107_15_000008_000011	非極重之傷越数日後囚風身死者將
HVH_107_15_000008_000012	皇越律例卷十五
HVH_107_15_000008_000013	副律開上七
HVH_107_15_000008_000014	保華期
HVH_107_15_000008_000015	殴打之人免其償杖一百流三千里
HVH_107_15_000008_000016	如當致命之處而傷輕或傷重而外致
HVH_107_15_000008_000017	命之處因風身死者必死在十日以
HVH_107_15_000008_000018	方准聲請改流其致命傷重及雖非致
HVH_107_15_000008_000019	命傷至骨損骨斷即因風身死在十日
HVH_107_15_000008_000020	以外仍依本律极以较抵若已逾破骨
HVH_107_15_000008_000021	傷保五十日正限尚在限二十日
HVH_107_15_000008_000022	之内因風身死者照殴人至废疾律
HVH_107_15_000008_000023	一百徒三年至正限後餘限外風身
HVH_107_15_000008_000024	死者止科傷罪其因患他病身死典本
HVH_107_15_000008_000025	傷無涉者雖在辜限之内仍依律徒本
HVH_107_15_000009_000001	傷法
HVH_107_15_000009_000002	一刃傷人至筋断者照破骨傷保辜五十
HVH_107_15_000009_000003	日
HVH_107_15_000009_000004	'
HVH_107_15_000009_000005	皇越律例
HVH_107_15_000009_000006	卷十五刑律圆入
HVH_107_15_000009_000007	保臺限务
HVH_107_15_000010_000001	宫内
