HVH_093_000010_000016	定文武欽仕恩祿
HVH_093_000010_000017	裕宗嘉年㝎
HVH_093_000010_000018	文武安海谢事者民有差
HVH_093_000010_000019	棺銅桂𠅐
HVH_093_000010_000020	有慧客商賀易待旨然後中國買賣領契扵监者
HVH_093_000010_000021	保㝎行法遣安监其事作敗銅探桂者往四各
HVH_093_000010_000022	中定学規考法
HVH_093_000010_000023	学校專教本府生徒及童生之假者者識
HVH_093_000010_000024	二課中八期者生徒分四年八课麁出扵
HVH_093_000010_000025	行推藍法
HVH_093_000010_000026	戶赴場有盤買賈各有文契
HVH_093_000010_000027	保泰二年遇鑒官丁戶各免役量社十分之二照
HVH_093_000010_000028	定文武官贈恤例保奉三年
HVH_093_000010_000029	免文員私田租每一品免租五畝
HVH_093_000010_000030	四鎮六口分官田
HVH_093_000010_000031	洽学
HVH_093_000010_000032	以為好火之寧
HVH_093_000010_000033	学六十畝大府二十畝中府十八畝小府十二畝
HVH_093_000010_000034	祖庸調法
HVH_093_000010_000035	宗保泰四年
HVH_093_000010_000036	祖
HVH_093_000010_000037	田出三分之一分粟一分也四官洲土見耕每畝一
HVH_093_000010_000038	公田每畝八甲熟田出三分之二粟二分一分也一
HVH_093_000011_000001	二甲植桑者半出絲謂納絲六卩納六無者
HVH_093_000011_000002	代纳私田二熟田每畝三甲一熟每部
HVH_093_000011_000003	庸身視每丁一長一生老黄丁半
HVH_093_000011_000004	调
HVH_093_000011_000005	每丁冬夏六甲變以代為供名以免理條
HVH_093_000011_000006	亭门錢
HVH_093_000011_000007	故五
HVH_093_000011_000008	巨社年使六長中社四長小社二貫以備支祭
HVH_093_000011_000009	揽册
HVH_093_000011_000010	所謂撥者并十百册而造廵也
HVH_093_000011_000011	見春十三祭守字二
HVH_093_000011_000012	楊棠冠
HVH_093_000011_000013	頭冠而後也
HVH_093_000011_000014	卽水春夏用屡秋冬用玄假则可見
HVH_093_000011_000015	按察以前所称中者新帽也
HVH_093_000011_000016	土塵税
HVH_093_000011_000017	林木名通水鹹木石炭土砂硝酒油濤色低
HVH_093_000011_000018	土塵有金木水火土及用物什的諸飲如金銀銅銘欽
HVH_093_000011_000019	布席等次
HVH_093_000011_000020	見三十六二外
HVH_093_000011_000021	進朝
HVH_093_000011_000022	制监生中式只補知陞至右參議而止有中場
HVH_093_000011_000023	功绩著者朝臣举许進士令羅用得陞參政六
HVH_093_000011_000024	部侍以上
HVH_093_000011_000025	之進朝
HVH_093_000011_000026	𨑮品
HVH_093_000011_000027	文乃歎府家臣秋
HVH_093_000011_000028	保嘉例定文進朝特令迎品封除授迫進士二等
HVH_093_000011_000029	八朕義黎中後阮公沅唱行八義之議
HVH_093_000011_000030	定文武官歲祿
HVH_093_000011_000031	兵多歲神有差
HVH_093_000011_000032	文安过行民戶武官剎祿民社各科弟下
HVH_093_000011_000033	督永佑五年改諸鎮員守鎮守為督
HVH_093_000011_000034	给文官廉四
HVH_093_000011_000035	興二年
HVH_093_000011_000036	信臣內名
HVH_093_000012_000001	置四鎮農官景異鎮置大使创使各專掌農
HVH_093_000012_000002	五府府僚
HVH_093_000012_000003	參後陪福调之府僚
HVH_093_000012_000004	中東西南北五革掌府事署府事诸调五府
HVH_093_000013_000001	備奴
HVH_093_000013_000002	居王土者納身税曰身納必有續以半曰漏
HVH_093_000013_000003	身緡脚調
HVH_093_000013_000004	行土路者納訥所以代竟公役也
HVH_093_000013_000005	衡十
HVH_093_000013_000006	诸域營鎮銅缺銘錫及産物各項稅例用天
HVH_093_000013_000007	嘉隆十二年定襲造天平衡法碼中平衡法碼
HVH_093_000013_000008	平衡种準收發存金銀二色宣用中平衡粹準收
HVH_093_000013_000009	發永為例
HVH_093_000013_000010	嗣弟二十三年議權者錄兩斤鈞石也以一千二百為重十二銖
HVH_093_000013_000011	兩之為兩二十四餘為両十六两為斤三十斤為釣四釣為石
HVH_093_000013_000012	出漢书律志以黄鐘
HVH_093_000013_000013	禽為準
HVH_093_000013_000014	方解
HVH_093_000013_000015	門命云年定觧以二十六升為益二云為觧也
HVH_093_000013_000016	明命七年㝎銅益三十益平口適銅弁十三升為一方
HVH_093_000013_000017	栗篓十
HVH_093_000013_000018	女七十三官銅鉢
HVH_093_000013_000019	本朝祀田祿田
HVH_093_000013_000020	公十畝侯八畝伯六畝子四畝男畝似于原貫槁给
HVH_093_000013_000021	嗣弟二十九年㝎至三十六七等年準折西畝仝年四十貫
HVH_093_000013_000022	由者其原曰交还社民
HVH_093_000014_000001	珥河源委
HVH_093_000014_000002	瑶河即富良江在河内省城東北源出宣光泸
HVH_093_000014_000003	江興化之洮江㑹于山西白鶴縣東南河内畏安
HVH_093_000014_000004	南㝎放于巴濟太平監户诸海口支分為唱江
HVH_093_000014_000005	自山西寿丹鳯昌入河内里仁
HVH_093_000014_000006	个南
HVH_093_000014_000007	二令河
HVH_093_000014_000008	府寧
HVH_093_000014_000009	平省放于大遼正大诸海口
HVH_093_000014_000010	明史地理志雲南江府有瀾滄江達于交趾
HVH_093_000014_000011	為富良江臨安府有蓮雖瀾次下流非江
HVH_093_000014_000012	上流也
HVH_093_000014_000013	貴惇見聞録榆水出浪羅山一名
HVH_093_000014_000014	西河下與太和縣漾水合下分𣾺滄江注八南
HVH_093_000014_000015	海则本固家良江為耳河者荅以其源自雲
HVH_093_000014_000016	南西河河过瀾滄江而八我國也
HVH_093_000015_000001	河城𣳮章
HVH_093_000015_000002	雄王辰稱交趾部属秦曰象即曰龍漏
HVH_093_000015_000003	吳曰交州属唐曰安南教護府
HVH_093_000015_000004	丁称交州道李故為試城又曰南京
HVH_093_000015_000005	陈称中京又故東都明為交州府治曰東開城
HVH_093_000015_000006	黎復名昇記西山為北城
HVH_093_000015_000007	嘉隆元年置北城鎮四年改名㝵隆
HVH_093_000015_000008	明命十二年改為河内省
HVH_093_000015_000009	今為河内城庸
HVH_093_000015_000010	青威縣治革
HVH_093_000015_000011	青咸古山南雄王之交阯秦之象郡吳之交州晋之
HVH_093_000015_000012	南㝎𣈜梁𠶆之寧海唐之隆州宋州皆其地也丁属
HVH_093_000015_000013	道黎李辰陳光泰十年属鎮以交州府
HVH_093_000015_000014	黎順天南道至光順山南承宣洪为年
HVH_093_000015_000015	洪順中鎮黎景分山南為上下二路西山
HVH_093_000015_000016	故為上下二鎮青威上鎮也明命三年改上鎮
HVH_093_000015_000017	為山南鎮下鎮為南㝎鎮仍山南至明命十二
HVH_093_000016_000001	年分以山南應和常信里仁三府與依弟府
HVH_093_000016_000002	為河内省青咸乃落于应和遂河内成嘉
HVH_093_000016_000003	十年改河東
HVH_093_000016_000004	青威名人附记
HVH_093_000016_000005	吳廷臺
HVH_093_000016_000006	𫇰
HVH_093_000016_000007	王
HVH_093_000016_000008	如左青威人保泰辛丑科進士景與年间
HVH_093_000016_000009	分行山西廵掌
HVH_093_000016_000010	為寔左青威人正和辛未科進士中與後文侍
HVH_093_000016_000011	轻弱公與武賊繼出正之
HVH_093_000016_000012	吳仕左青威人景興丙戌科進士子吳任乙未科
HVH_093_000016_000013	進士吳依吳仕子昭二年以内翰院徔之
HVH_093_000016_000014	蒋煮左青威人景兴八年中宏词科明倍一年
HVH_093_000016_000015	為京卦憲察解使以翊戴功叙用辞不
HVH_093_000016_000016	黎輝貝溪人景乙亥科進士
HVH_093_000016_000017	阮瑜文舍人景噐乙己科進士
HVH_093_000016_000018	吳為貴左青威狼貢昭琉元年充内翰院
HVH_093_000016_000019	黎仲穎多仕人昭統了未科進士給事中
HVH_093_000017_000001	黎輝坤貝溪鄕貢官寺巡山西辰共仲穎俱隐遁
