HVH_094_000016_000002	治之法皆相異轄内官之職爵亦不同及諸公座如商政
HVH_094_000016_000003	座督工座電報座銀庫座其律例亦與他處相異今則諸
HVH_094_000016_000004	座各統属於東洋公所其掌理官亦各統合炤依一千八
HVH_094_000016_000005	百九十九年九月十六日㫖諭其管理諸官員又縂称曰東
HVH_094_000016_000006	洋該治大臣其品秩列為三等監督該治參辨該治又分
HVH_094_000016_000007	為五項參辨則分為二項
HVH_094_000016_000008	公使座
HVH_094_000016_000009	省有公使大臣管領全省該治事務掌察南人之刑案
HVH_094_000016_000010	獄訟與堂官會同𬢱立每年税簿收補换税及覌察
HVH_094_000016_000011	巡防轄内地方
HVH_094_000016_000012	公使座其次公使之權則有副公使一員以助理政事各
HVH_094_000017_000001	有西參辨效員以承行公了通言記餘人以附從翰辨諸
HVH_094_000017_000002	事務兵
HVH_094_000017_000003	巡防乃則公使用青洿習兵則有西官該管在省有監其
HVH_094_000017_000004	統領若衝要諸處方皆青洿習兵屯札則有西隊一員掌
HVH_094_000017_000005	管然其主權亦由公使所擬定
HVH_094_000017_000006	轄内諸堤分道路橋梁之了亦由公使管理故每省有陸路
HVH_094_000017_000007	官一員與公使附從以幹理其事
HVH_094_000017_000008	有銀庫官一員取税發糧及支國家公需諸事務又
HVH_094_000017_000009	有商政所電報所皆属公使該治
HVH_094_000017_000010	公需簿
HVH_094_000017_000011	省内支費諸事築路點燈設庯靣巡防兵給正職官附
HVH_094_000017_000012	給糧修築轄内諸道路修補省府縣公堂及公使座
HVH_094_000017_000013	省
HVH_094_000017_000014	所支需諸事則公使有内支消簿
HVH_094_000018_000001	公需簿所收八之税如丁税田税市渡税與城庯門牌税
HVH_094_000018_000002	城庯公𢭯税車税宰牲󰌎税及增附轄内田税
HVH_094_000018_000003	國家該治南圻法
HVH_094_000018_000004	自一千八百六十三年六月初五日大法皇帝納逋黎第三
HVH_094_000018_000005	與嗣彷皇帝交訂和約役國家始該治南圻各省然至一
HVH_094_000018_000006	千八百六十三年有水師元帥逋阿大臣者掌該治南圻之
HVH_094_000018_000007	權如設定官吏所刑案所户務所兵務所諸公所又命水
HVH_094_000018_000008	步兵官各領參辨之職以掌理收税及巡防警察本處内
HVH_094_000018_000009	外地方之事其諸兵官皆勤敏出色底人當兵火錢破之
HVH_094_000018_000010	餘而能處置適當且承元帥大臣之法令而平定境内設定
HVH_094_000018_000011	南國官吏事收補秩税經營修築境内諸道路開鑿溝
HVH_094_000018_000012	渠諸事至一千八百六十五年又立副元帥以附属行事擇本
HVH_094_000019_000001	處豪強才智者以次為督知府知縣命與諸參辨附
HVH_094_000019_000002	辨公務又建造無𢼂美麗宫臺如全權座案座督理座電
HVH_094_000019_000003	報極其精巧冠於南此皆當辰所督造也
HVH_094_000019_000004	自一千八百七十九年五月十五日旨諭以文官代諸兵官領
HVH_094_000019_000005	該治之權其本處事務及案詞諸事皆從新更置又以
HVH_094_000019_000006	諸大臣與南官效員為㑹同管轄以㑹商轄内公益事又
HVH_094_000019_000007	立無效斈堂以本處及外國人他如修補堤道修輪船港
HVH_094_000019_000008	築火車路電車路諸公益事務皆當辰所經營造作於
HVH_094_000019_000009	二十年之間南圻六省遂亞東之大法國
HVH_094_000020_000001	省府縣總社
