HVH_095_000014_000006	各省
HVH_095_000014_000007	每省次公使之權則有當官掌該治權及刑案教學事
HVH_095_000014_000008	大省總督小省有迨撫兼管全省事務布政掌收税
HVH_095_000014_000009	選兵之權今則其權皆公使座掌理故此職己罷按察
HVH_095_000014_000010	掌察断刑案諸督學主省内學務又有商佐一員以助行公事
HVH_095_000014_000011	縂督巡撫衙為藩司有通判一員及八品九品書吏未入流
HVH_095_000014_000012	書吏以分理公事
HVH_095_000014_000013	按察衙爲臬司有經暦及八九品書吏
HVH_095_000014_000014	學衙有禮生祀丞掌祭祀及課核事
HVH_095_000014_000015	府縣
HVH_095_000014_000016	省分為府府分為縣府有知府該治教授主學務及商
HVH_095_000014_000017	辨以附行政事縣有知縣該治教學有則訓導亦有
HVH_095_000015_000001	邦辨以助行公事分府則有同知府縣雖屬府然每轄
HVH_095_000015_000002	皆有該治之權不相統屬府縣衙門各有題吏及通吏二三人従事
HVH_095_000015_000003	奇兵
HVH_095_000015_000004	省府縣有竒兵以逡防轄內有該隊管以該管之其粮
HVH_095_000015_000005	食衣服噐械則由國家所給
HVH_095_000015_000006	隸兵
HVH_095_000015_000007	堂官及各府縣皆有隷兵以供役使有隷兵目該管惟
HVH_095_000015_000008	無噐械止事奉侍及公事而己
HVH_095_000015_000009	正縂副縂
HVH_095_000015_000010	凡府縣之有公事於各社者則責據正縂正縂乃由總中耆
HVH_095_000015_000011	目公舉或擇取副縂各社里長鄉長及經與國家従事
HVH_095_000015_000012	十年者其與保舉之人如各社里長先次紙舊正副總及
HVH_095_000015_000013	滿課之管隊於保舉辰則有公使座所派西官及府縣
HVH_095_000015_000014	官現在視寔始舉之後其人始領試差該縂憑三年始
HVH_095_000015_000015	得寔授及蒙賞從九品百户每三年升一秩以至七品然
HVH_095_000015_000016	自正七品至正七品則又四年一斤
HVH_095_000016_000001	副縂擇各社之里長及盖里長其預保之人亦由保舉正縂
HVH_095_000016_000002	云従事六年得賞従九品街以後六年一升亦至正七品何係
HVH_095_000016_000003	從事至九年而總內正總有闕則得充之不必保舉
HVH_095_000016_000004	社有耆目以幹辨鄉事公事如開丁田簿
HVH_095_000016_000005	收税纳税及築路修橋開涇渠以取水諸公益事則耆目
HVH_095_000016_000006	督民為之巡防事則耆目與正副里長協同幹辨
HVH_095_000016_000007	社有先祉為首亦隨其鄉俗或重科目或取品街次祉耆目
HVH_095_000016_000008	里長
HVH_095_000016_000009	社有里長以辨行公事有木篆及公使堂無官所給文憑何係
HVH_095_000016_000010	內籍民方得預保正副里長已經保舉之後亦隨由上官審
HVH_095_000016_000011	覆或更擇取其優者里長從事九年得賞授從九品百户以後五
HVH_095_000016_000012	年一升
HVH_095_000016_000013	有看守或分守以助里長收補各村之稅又有鄉
HVH_095_000016_000014	長甲長社長與里長附從行事及督辨民夫事有畨以迨
HVH_095_000016_000015	防鄉內這是皆隨民之大小自行保舉非由該治官也
HVH_095_000016_000016	各項税
HVH_095_000016_000017	國家分税為二項正額税外額税正額有編簿炤人而收外
HVH_095_000017_000001	額稅則收賣商之貨物惟食用者受之耳正額税納入各處
HVH_095_000017_000002	支消簿以供本處公需之費外領税則納在東洋支消公簿
HVH_095_000017_000003	外額税
HVH_095_000017_000004	外額祝多納在商政座其稅如入港出港貨物税酒税鹽税
HVH_095_000017_000005	片稅酒藍片三者惟國家所賣南酒每坪二毛五仙西酒
HVH_095_000017_000006	每坪收西錢二貫半鴉片則買於雲南印度製於柴槐榴
HVH_095_000017_000007	片厥然後盛入銅盒以賣監則國家買於盟坡或鹹田其
HVH_095_000017_000008	賣者認守一簿每年賣得千國家先定其税而買之
HVH_095_000017_000009	然後分賣於民商政座又收火油税火柴税煙葉税南煙税
HVH_095_000017_000010	又有外額稅而不納在商政座者如信紙稅市淩税及呈閱文字銀
HVH_095_000017_000011	正額税
HVH_095_000017_000012	正額税則納在東洋各處支消簿隨處不同北圻之正額税已
HVH_095_000017_000013	經改定從一千八百九十七年盛七六月初二日之議定也南人則有丁田土諸祝
HVH_095_000017_000014	丁税
HVH_095_000017_000015	丁税每人自十八歲至六十歲內籍丁
HVH_095_000017_000016	每人三元外籍丁每人五毛有免差項得除丁税
HVH_095_000017_000017	有品銜之人每三年為限呈閲憑敉銀十五元数
HVH_095_000018_000001	凡與南官從事如書吏通吏奇隸驛夫
HVH_095_000018_000002	公使座兵官座之通言記錄
HVH_095_000018_000003	正副總廕生僧寺及六十歲以上老人
HVH_095_000018_000004	在兵之赤洿習兵青洿習兵及水兵
HVH_095_000018_000005	有免差徭如官員父官員子正副里及課生者亦得除
HVH_095_000018_000006	丁税止領一免徭紙納銀四毛
HVH_095_000018_000007	田土税
HVH_095_000018_000008	里税分為二項一為田税又分為三等第一等每銀壹
HVH_095_000018_000009	元五毛第二壹元五毛第三等八毛
