HVH_107_04_000014_000010	誘爲非者同學臣一併革職提問其学
HVH_107_04_000014_000011	臣暗通開簡私名器提調官無通
HVH_107_04_000014_000012	皇越律侧卷四
HVH_107_04_000014_000013	支种
HVH_107_04_000014_000014	主
HVH_107_04_000014_000015	貢举券其人
HVH_107_04_000014_000016	同引誘情弊而防範不者交部議處
HVH_107_04_000014_000017	学臣應用员役倘有招摇撞骗及受贿
HVH_107_04_000014_000018	傅通等弊提调官不行訪擎究治者亦
HVH_107_04_000014_000019	交部議處若学臣操守清廉杜絶情弊
HVH_107_04_000014_000020	而提調官不得遂其引誘反行挾制把
HVH_107_04_000014_000021	持者該学臣即行指参審實将提調官
HVH_107_04_000014_000022	照食官例治罪
HVH_107_04_000014_000023	一考試官毫無情弊下第諸生不安義
HVH_107_04_000014_000024	命逞念混行揽隔者附远克軍
HVH_107_04_000015_000001	举用有遇官吏
HVH_107_04_000015_000002	几官史會經斷罪罷職役不叙者諸衙門
HVH_107_04_000015_000003	不許滕保舉遗者举官及匿過之人
HVH_107_04_000015_000004	各杖一百罷胀役不叙
HVH_107_04_000015_000005	受眼俱以枉法
HVH_107_04_000015_000006	重输若将帥
HVH_107_04_000015_000007	喜
HVH_107_04_000015_000008	者有同保勘明自亦得举用
HVH_107_04_000015_000009	異才不你食污规逢而励
HVH_107_04_000015_000010	无官史犯通一隐欲以上私罪
HVH_107_04_000015_000011	经官府衡决官耀史罷于法不
HVH_107_04_000015_000012	得叙用者諸門不許隐其犯事
HVH_107_04_000015_000013	由膝腿保举起用若建此茶面保
HVH_107_04_000015_000014	者及所举之人不自陈過匿承
HVH_107_04_000015_000015	爱職役者各放一百職很永不叙
HVH_107_04_000015_000016	用
HVH_107_04_000015_000017	條剑
HVH_107_04_000015_000018	一交職官員举貢监生并吏员承差人等
HVH_107_04_000015_000019	皇越律例三卷
HVH_107_04_000015_000020	聚
HVH_107_04_000015_000021	西
HVH_107_04_000015_000022	奉局有史
HVH_107_04_000015_000023	曾經考察論劾罷及為事間革不
HVH_107_04_000015_000024	入選者若買求官史改洗文卷隐匿公
HVH_107_04_000015_000025	私過名或詐作丁憂起復以圖選用事
HVH_107_04_000015_000026	問罪更部門首枷號一個月除拔
HVH_107_04_000015_000027	者近遇未除授者餐附近各克军其
HVH_107_04_000015_000028	起送官吏不分軍衛有司但知情受賄
