HVH_107_06_000008_000031	男女爲所後之親喜悦者聽其相爲
HVH_107_06_000009_000001	依倚不許繼子并本生丝用用計逼送
HVH_107_06_000009_000002	仍酌分给财產若無子之人家贫其
HVH_107_06_000009_000003	賣產白
HVH_107_06_000009_000004	無子立若應繼之人平日先有嫌
HVH_107_06_000009_000005	則於昭穆相当親族内擇賢撰愛聽
HVH_107_06_000009_000006	其便如族中希國财產勒令承然
HVH_107_06_000009_000007	急握以改訟者地方言立面治
HVH_107_06_000009_000008	仍將所愛之人部令立真有亏
HVH_107_06_000009_000009	婚而故婦能孀守已聘未娶媳能以女
HVH_107_06_000009_000010	身守志已婚而技婦雖未能守但
HVH_107_06_000009_000011	所蔽之人业已成立或子雖未娶而圆
HVH_107_06_000009_000012	皇越德例人卷六
HVH_107_06_000009_000013	八
HVH_107_06_000009_000014	额+运势
HVH_107_06_000009_000015	内兵陣者俱應爲其于立彼若支属
HVH_107_06_000009_000016	内實無昭穆相當可爲其子立後之人
HVH_107_06_000009_000017	而其父又無别子者應為其父立待
HVH_107_06_000009_000018	生孫以嗣應爲立後之其尋常天
HVH_107_06_000009_000019	未婚之人不得概爲立後若獨子天
HVH_107_06_000009_000020	而族中實無昭穆相当可爲其父立
HVH_107_06_000009_000021	者亦准爲未婚之子立繼如可繼之人
HVH_107_06_000009_000022	亦係獨子而情属同父周親两相情願
HVH_107_06_000009_000023	者取具族结亦准其承繼两房宗
HVH_107_06_000009_000024	视
HVH_107_06_000009_000025	一凡乞養異姓義子有情顾歸宗者不許
HVH_107_06_000010_000001	分得财産回本宗其收三岁以
HVH_107_06_000010_000002	下道葉之小兒仍依律即從其姓但不
HVH_107_06_000010_000003	得以無子逐立爲嗣仍酌分給财產俱
HVH_107_06_000010_000004	不必勒令歸宗如有希圖貲財月認歸
HVH_107_06_000010_000005	宗者照律治罪
HVH_107_06_000010_000006	皇越律测
HVH_107_06_000010_000007	卷六月
HVH_107_06_000010_000008	九
HVH_107_06_000010_000009	立摘手建法
HVH_107_06_000011_000001	收迷失子女
HVH_107_06_000011_000002	凡收留人家迷失
HVH_107_06_000011_000003	道路
HVH_107_06_000011_000004	子女不选官司
HVH_107_06_000011_000005	而賣爲奴婢者杖一百徒三年爲妻妾
HVH_107_06_000011_000006	子孫者杖九十徒二年半若得迷失奴
HVH_107_06_000011_000007	婢者各减良人罪一等被賣之人
HVH_107_06_000011_000008	而賣爲奴婢者杖九十徙二年半爲
HVH_107_06_000011_000009	妻妾子孫者杖八十徒二年若得在逃
HVH_107_06_000011_000010	奴婵而賣者各臧良人罪一等其被
HVH_107_06_000011_000011	在逃之人又各减一等若在逃之罪重
HVH_107_06_000011_000012	者自徒重論0其自收留為奴婢妻妾
HVH_107_06_000011_000013	皇越律创
HVH_107_06_000011_000014	卷六
HVH_107_06_000011_000015	十
HVH_107_06_000011_000016	收留连尖子女
HVH_107_06_000011_000017	子孫者罪亦如之隐藏在者
HVH_107_06_000011_000018	鱼杖几十0若買者及牙保知情减犯
HVH_107_06_000011_000019	人罪一等追價入官不知者俱不坐追
HVH_107_06_000011_000020	價回主0若骨認良人為奴婵者杖
HVH_107_06_000011_000021	百徒三年爲妻安子孫者杖九十徒二
HVH_107_06_000011_000022	年半骨認他人奴婢者杖一百
HVH_107_06_000011_000023	迷失者迷失追欲婦不能出於
HVH_107_06_000011_000024	时之不幸在子女無道其之心在
HVH_107_06_000011_000025	凡妆留之者俱當即遂官同召人
HVH_107_06_000011_000026	领如有不送官问将妆留人于友
HVH_107_06_000011_000027	责典人爲奴者一百徒三年
HVH_107_06_000011_000028	與人為安姿子孫者杖九十徒二年
HVH_107_06_000011_000029	牛將放出之如黄者各减贞民人
HVH_107_06_000011_000030	一等阿奴婵杖九十徒二年半爲
HVH_107_06_000011_000031	子孙几十徒二年盎子
HVH_107_06_000012_000001	背限人权奸木皆者故授留而
HVH_107_06_000012_000002	之那各有差等破賣之子女奸背
HVH_107_06_000012_000003	不坐親聚以其原属無于
HVH_107_06_000012_000004	毯失则情得已既服妆留则劳難
HVH_107_06_000012_000005	而讀之然在逃必非無故已道
HVH_107_06_000012_000006	听觀背叛家长即皆有之人矣在
HVH_107_06_000012_000007	越不周故放留而之罪化
HVH_107_06_000012_000008	逃失各赋一等其酸之人亦同坐
HVH_107_06_000012_000009	此责者又各藏一等耳读在之
HVH_107_06_000012_000010	于汝者杖九十徒二年半
HVH_107_06_000012_000011	则被者杖八十徒二年接子
HVH_107_06_000012_000012	七十年年如讀在之权為奴
HVH_107_06_000012_000013	者患放八十徒二年则者杖
HVH_107_06_000012_000014	给团聚者以在等中或有犯
HVH_107_06_000012_000015	重罪当正法建现奥兴歸宗徒
HVH_107_06_000012_000016	越律侧
HVH_107_06_000012_000017	卷六户
HVH_107_06_000012_000018	士
HVH_107_06_000012_000019	发留进火子女
HVH_107_06_000012_000020	琴者在也其收留失在逃之
HVH_107_06_000012_000021	于女奴挥不选官司即以為自已奴
HVH_107_06_000012_000022	奸及要子殊则奥賣人者無異故
HVH_107_06_000012_000023	亦如之禄迷失则如贵逢失各
HVH_107_06_000012_000024	科物保在选则如填在谷科
HVH_107_06_000012_000025	不简失在逃显杖几十在逃者
HVH_107_06_000012_000026	选若页者及牙保知其失
HVH_107_06_000012_000027	在选之情而承员概者犯人罪
HVH_107_06_000012_000028	知情则页者仍坐罪追價入官者
HVH_107_06_000012_000029	速失在逃夏人之子女人牧留或
HVH_107_06_000012_000030	之故杖一百徒三年月認爲之
HVH_107_06_000013_000001	其本屬者
HVH_107_06_000013_000002	之奴辉及要
HVH_107_06_000013_000003	而委迷异
HVH_107_06_000013_000004	輕子失之
HVH_107_06_000013_000005	称者
HVH_107_06_000013_000006	之且不
HVH_107_06_000013_000007	矣
HVH_107_06_000013_000008	故
HVH_107_06_000013_000009	分杖奴九
HVH_107_06_000013_000010	奴一
HVH_107_06_000013_000011	十
HVH_107_06_000013_000012	婵百爲徒
HVH_107_06_000013_000013	典以已二
HVH_107_06_000013_000014	妻麦子
HVH_107_06_000013_000015	我也
HVH_107_06_000013_000016	律例一卷六年
HVH_107_06_000013_000017	士
HVH_107_06_000013_000018	发图失子交
HVH_107_06_000014_000001	賦役不均
HVH_107_06_000014_000002	於田產
HVH_107_06_000014_000003	彼出於人丁
HVH_107_06_000014_000004	凡有司科微税及泛差役各照籍内
HVH_107_06_000014_000005	人丁现数定立等第科差若放富差贫
HVH_107_06_000014_000006	那移財作者許被害貧民赴控該上
HVH_107_06_000014_000007	司自下而上陳告當該官吏各杖一百
HVH_107_06_000014_000008	改正若上司不爲受理者杖入十受财
HVH_107_06_000014_000009	科微科微技耀夏状程
HVH_107_06_000014_000010	差役承耀雜二顶言税检差液
HVH_107_06_000014_000011	田之岗于赋然役出于赋者多
HVH_107_06_000014_000012	故稳謂之賦役侧重设字差有整重
HVH_107_06_000014_000013	皇越律创
HVH_107_06_000014_000014	卷六月
HVH_107_06_000014_000015	十
HVH_107_06_000014_000016	眼役不为
HVH_107_06_000014_000017	户有贫富為官同者驗籍内户日
HVH_107_06_000014_000018	田程以定立等则分别料差贫富相
HVH_107_06_000014_000019	稱乃之均若放富差即作
HVH_107_06_000014_000020	者是謂不均民受不均之害做許捷
HVH_107_06_000014_000021	告又恐越訴以長刁風故自下而
HVH_107_06_000014_000022	上备實当官使杖一百上司不為
HVH_107_06_000014_000023	受理则破害之民無神害精無
HVH_107_06_000014_000024	以枉法罪與
HVH_107_06_000014_000025	本律提重输
HVH_107_06_000014_000026	條例
HVH_107_06_000014_000027	一軍民年七十以上者許一丁侍免其
HVH_107_06_000014_000028	雅派差役
HVH_107_06_000015_000001	丁夫差遣不平
HVH_107_06_000015_000002	凡應差丁夫雜
HVH_107_06_000015_000003	色在
HVH_107_06_000015_000004	官工
HVH_107_06_000015_000005	匠而差遣
HVH_107_06_000015_000006	劳
HVH_107_06_000015_000007	伙
HVH_107_06_000015_000008	不均平
HVH_107_06_000015_000009	者一人笞二十每五人加一等罪止杖
HVH_107_06_000015_000010	六十0若丁夫雜承差而留不著
HVH_107_06_000015_000011	役及在役日满而所司不放回者一日
HVH_107_06_000015_000012	笞一十每三日加一等罪止答五十
HVH_107_06_000015_000013	丁夫計丁派在官工役印前條
HVH_107_06_000015_000014	+
HVH_107_06_000015_000015	皇越律创卷大
HVH_107_06_000015_000016	十加等至十三日八上罪止答五十
HVH_107_06_000015_000017	十
HVH_107_06_000015_000018	了火差进不平
HVH_107_06_000016_000001	逃避差收
HVH_107_06_000016_000002	凡民户逃住都境州縣躲避差役者枚
HVH_107_06_000016_000003	百回原籍当差其親管社長提調官
HVH_107_06_000016_000004	吏故猴及邻境人户隐蔽在已者各與
HVH_107_06_000016_000005	同罪若社長知而不逐遣及原管官
HVH_107_06_000016_000006	司不移文起取若移文起取而所在官
HVH_107_06_000016_000007	司占不者各枚六十0若丁夫雜
