HVH_103_000010_000010	兼掌布二司事勅輔晟交趾才德山林以能学
HVH_103_000010_000011	奇才賢良孝直康幹德吏精通書尊以
HVH_103_000010_000012	法武藝智容貌魁偉便利力勇放陽術醫技之人悉
HVH_103_000010_000013	必访求禮京師用九月輔遣升露布献俘季蒼及偽州相下狱赦
HVH_103_000010_000014	澄满等令衣食隆切指揮使事千户是年贈友安南國
HVH_103_000010_000015	王陳氏子孫七人官六年月進封輔為英國公晟黔國公封升安遠月
HVH_103_000010_000016	人简鄧悉反成為征夷軍師師封之仍赞十三二月晟
HVH_103_000010_000017	简言戰生江败绩伟都督吕毅文此参政刘呈皆没七年二月勅
HVH_103_000011_000001	圆清安置写亦满速图质嘉阅绝西城貢合法夷黑麻星
HVH_103_000011_000002	向域传夷皆言成化同家入贡
HVH_103_000011_000003	皇帝先中贵人河南京宴赐甚野不承海多里貢狮了家開海道
HVH_103_000011_000004	却不受即河贵专宴當天绝家相阿黑麻且拒中国能禁永
HVH_103_000011_000005	哈肝回又附阿黑麻黑麻逐硬暖入哈有称可汗大掠罕東夷諜言料夷
HVH_103_000011_000006	多用攻州甘州报开司彼声家也土鲁番程中
HVH_103_000011_000007	经黑川哈云又程皆無黄使返皆默台行永谨烽大候
HVH_103_000011_000008	兵彼区肃州劳出奇彼马不返巴黑麻西去全目
HVH_103_000011_000009	皇明回美考
HVH_103_000011_000010	十
HVH_103_000011_000011	牙蘭百人振哈文升回用陳湯坡事此厉終不畏文升肃州夷指揮揚
HVH_103_000011_000012	省日汝夷情知西域道路廷会新牙蘭汝计者此成
HVH_103_000011_000013	非装哈捷行可通進可十日云升日予进罕東
HVH_103_000011_000014	5
HVH_103_000011_000015	永二千后日食点程九善八年河面处進嗣
HVH_103_000011_000016	總彭清精三千田南山驰東即東法倍道蘭县冬進
HVH_103_000011_000017	及總清州久駐候军不乃之去路乏行不能蘭
HVH_103_000011_000018	知通去入哈首十巴妻女獲牛年三十哈去八百人皆不殺
HVH_103_000011_000019	上师粮之士马多福面城自知中国又开言抵哈
HVH_103_000012_000001	牙蘭首功亦少進寧及大监陸周不道節制取空城益事独軍士遠征
HVH_103_000012_000002	劳苦宜堂赏上念遣出塞有功歲禄二名寧左都督加体百宿進
HVH_103_000012_000003	左副都御火清都督食事九年陌黑麻装破哈家令撒他兒及卷克学刺住
HVH_103_000012_000004	刺太城奄克学刺密结刺小到先撒地兒卷克学刺還守哈阿黑底遣
HVH_103_000012_000005	人周哈哈人举先见来援退走守参全留貢使廷请黑
HVH_103_000012_000006	麻納歡文才曰阿黑麻未見遣使上款不許秋進玖院面处十年阿黑麻
HVH_103_000012_000007	令人送巴還哈其马黑上書言西域諸不得貢怨阿黑麻今悔遇許典
HVH_103_000012_000008	黑諸國入貢及還写亦满連兒文升言此挟陕巴金印甘
HVH_103_000012_000009	皇明夷考
HVH_103_000012_000010	土
HVH_103_000012_000011	亦海建生闽廣星令尽起王越為太子太保左都御大總刺甘原遣
