HVH_096_000010_000012	弗替斯筵寔頼列祖之福也尚饗敬以如前
HVH_096_000010_000013	慈
HVH_096_000010_000014	開賀祭當年文尊神
HVH_096_000010_000015	位前曰為問春必告禮也
HVH_096_000010_000016	恭惟
HVH_096_000010_000017	尊神聰明作則臨炤無私奉旨旬宣勾當六合欽差董正
HVH_096_000010_000018	澤八方新春聊寓芹誠小民冐陳葵向民日質矣林總陶樂利
HVH_096_000010_000019	之庥神其咱之鄉閏頌和平之福四巷齊東兑南北五福合
HVH_096_000010_000020	富壽康寧寔賴尊神之大德也尚享
HVH_096_000011_000001	祈安文祭尊神
HVH_096_000011_000002	位前曰林林總總民之豈蚩惟天制命惟
HVH_096_000011_000003	神是依念昔承平多蒙䕃庇辰經擾攘瘡癡甫起適聞轄下
HVH_096_000011_000004	辰氣不平同人戰慓驚惧死生甚憫此生百般况疼急急遑
HVH_096_000011_000005	遑如𤵶如醉幾經烽火十室九空連年水火飢困寒衝茲民
HVH_096_000011_000006	何辜或死或散𫉚屋危亡長呼永嘆幸逢今歲大德好生有
HVH_096_000011_000007	年大孰踊躍歡聲奇祸偶臨斯民狼狽無地悲號民無聊頼
HVH_096_000011_000008	恭陳薄奠神之格思金銀謹具頂戴吹噓錫以平安相陶
HVH_096_000011_000009	作息惟望威靈扶持大德
HVH_096_000011_000010	又体恭惟寺王明清智武圣神在帝迭阳
HVH_096_000011_000011	開賀文
HVH_096_000011_000012	化清明亦心正折域作之君唯方模首元霄礼
HVH_096_000011_000013	似重誕膺無藉扶之力日卒花復出仰又儀佐之仁適
HVH_096_000011_000014	问下礼陳尚福及
HVH_096_000011_000015	天瘟大帝
HVH_096_000011_000016	玉陛下
HVH_096_000011_000017	當年山王行譴至德尊神
HVH_096_000011_000018	位前曰令為明年開賀必告禮也恭惟
HVH_096_000011_000019	尊神敕奉帝庭王威赫日行天下王德振普天者莫非王圡
HVH_096_000011_000020	率土耆莫非王民群居村塢之中儘窮洞燭覆載綏𢙇之下共
HVH_096_000011_000021	得安仁謹告
HVH_096_000011_000022	鄉老鄉色新里役祭祈壽文
HVH_096_000011_000023	位前曰今為祈壽必告禮也
HVH_096_000011_000024	恭惟
HVH_096_000012_000001	尊神聰明正直文武聖神奉天子敕保一方民為造化迹體天地
HVH_096_000012_000002	仁两間林總盡在陶飄顧茲民社仰望天恩錫延壽命澤及同
HVH_096_000012_000003	人尚享敬以如前
HVH_096_000012_000004	維大南保大二歲次丁卯二月建厶千山支朔厶千支初二
HVH_096_000012_000005	日千支山省府縣總社仝社上下等敢明告于
HVH_096_000012_000006	碧霞仙府至尊神聖掌元君
HVH_096_000012_000007	玉陛下
HVH_096_000012_000008	天后仙宮至慈聖母司疸娘
HVH_096_000012_000009	金粧下
HVH_096_000012_000010	行漿童子調氣血
HVH_096_000012_000011	位前
HVH_096_000012_000012	左輔文班賢聖
HVH_096_000012_000013	位前
HVH_096_000012_000014	飾宦郎君保安康
HVH_096_000012_000015	位前
HVH_096_000012_000016	右弼武列神明
HVH_096_000012_000017	位前
HVH_096_000012_000018	藥王會二前傳後教歷代神醫
HVH_096_000012_000019	位前
HVH_096_000012_000020	疸符官中散花壓觧厄仙師
HVH_096_000012_000021	位前
HVH_096_000012_000022	當恩主至德尊神
HVH_096_000012_000023	位前
HVH_096_000012_000024	本社廟宁感應神祗位前曰舎為歲花兆發頓稽延禧敢告禮
HVH_096_000012_000025	不惟
HVH_096_000012_000026	世也恭
HVH_096_000012_000027	尊神乗隂陽以出入參造化以裁培保我赤子圎此眷臺和
HVH_096_000012_000028	氣榮乍韶光之爽天花發歲恰逢膏雨之催惟是和之
HVH_096_000012_000029	至也斯生得其所哉雖由二大之委形子孫更爲爾有
HVH_096_000013_000001	寔頼首靈訪順劬勞方慰母𢙇謹以金銀花菓芙酒之儀伏惟尚享
HVH_096_000013_000002	諸家疸散壇文其聖號字與新書
HVH_096_000013_000003	位前曰家完福卜日散壇必告禮也
HVH_096_000013_000004	恭惟
HVH_096_000013_000005	尊神衆隂陽以出八參造化以裁培保我赤子國此眷臺和氣榮
HVH_096_000013_000006	𦞁乍挹韶光之𠁊天花適名發歲一如逢膏雨之催氣盛歷三春
HVH_096_000013_000007	而繼慶身康隨百福以孔嘉雖由天地委形子孫更為爾
HVH_096_000013_000008	有寔頓鬼神効順劬勞方慰母𢙇壇卜自某叩手乆
HVH_096_000013_000009	致誠于掃地謝禮吉蠲初夏炷香願将敬于化財謹告
HVH_096_000013_000010	維大南保大二歲次丁卯二月建厶朔厶日厶省府縣總社娃
HVH_096_000013_000011	率男子等敢昭告于
HVH_096_000013_000012	聖號
HVH_096_000013_000013	位前曰為黎行庚五十生得一男仰祈托体于相
HVH_096_000013_000014	門得久邀于神佑必告禮也
HVH_096_000013_000015	恭惟
HVH_096_000013_000016	尊神奉天子敕保一方民闔境之旌俛在廟堂之香火常新民
HVH_096_000013_000017	伏念五代前祖肇尊培東閣猶留神跡五代後兵錢譜闕明
HVH_096_000013_000018	禋惟誌忌辰謂德謂功萬代如見一鄉一姓七系攸分緬饗
HVH_096_000013_000019	而流光奕奕獨蠶詵而子振振惟德之見足人之聞物與文民
HVH_096_000014_000001	胞雖百姓皆吾之赤子隂扶黙相况一家猶小之黄群惟
HVH_096_000014_000002	神之佑俾福之申謹以厶物之儀祗薦于神尚享
HVH_096_000014_000003	賣童子文
HVH_096_000014_000004	口
HVH_096_000014_000005	維大南保大元歲次丙寅正月建庚寅朔癸酉越十五日丁
HVH_096_000014_000006	亥清化省紹化府安定縣安定總美祿社夫黎厶妻陳氏合仝
HVH_096_000014_000007	夫妻等廻於去厶月日生下男子行庚干歲胎生長
HVH_096_000014_000008	養旣資賦予以成形疾病憂危必頼扶持而永命兹因眷節
HVH_096_000014_000009	得吉日修設厶物敢明告于
HVH_096_000014_000010	原
HVH_096_000014_000011	聖號
HVH_096_000014_000012	位前曰今爲過賣童子頋爲螺蛤之子必告禮也
HVH_096_000014_000013	恭惟
HVH_096_000014_000014	高明保佑生成卒於輿情尚其兒命和平長養均蒙於福祉
HVH_096_000014_000015	告
HVH_096_000014_000016	又体位前曰舎夫妻作合經已有羊生獲男女早脱輿于
HVH_096_000014_000017	天數而裁培尤頼于神功茲則子疇厶月未離襁褓茲門托
HVH_096_000014_000018	一天何限春陽今用菲儀尚其监格感必通求必應願弘推覆
HVH_096_000014_000019	佑之仁災日去福日來永衍無疆之慶寔其頼也
HVH_096_000014_000020	維大南云云如前祭主云為有娶于厶社阮氏厶為妻兹婚事已
HVH_096_000014_000021	成謹以輸音芙酒之儀敢明告于
HVH_096_000015_000001	炎帝神農制嫁娶之神
HVH_096_000015_000002	位前曰立天之道曰隂曰陽立人之
HVH_096_000015_000003	道曰夫曰婦禮有先師不敢不告謹告敬以絲紅月老天仙同来巷
HVH_096_000015_000004	又佛位前曰天之道曰隂曰陽人之道有夫有婦故降二女載
HVH_096_000015_000005	于虞書而君子好遂歌於詩首盎自天作合兩姓以交歡
HVH_096_000015_000006	兹婚事已成慶一家之團聚謹具菲儀仰祈相佑伏惟尚享
HVH_096_000015_000007	又体
HVH_096_000015_000008	如前主為娶厶社氏厶爲妻蠲吉成婚謹以厶物敢明告于
HVH_096_000015_000009	絲紅月老天仙
HVH_096_000015_000010	位前
HVH_096_000015_000011	恭惟
HVH_096_000015_000012	天仙至公至正不倚不偏鏡知世事繩結人縁婚禮旣備誠意具
HVH_096_000015_000013	宣仰望
HVH_096_000015_000014	大德俯鍳㣲虔默扶雨姓願滿百
HVH_096_000015_000015	子孫繁盛福履綿延謹告
HVH_096_000015_000016	又体
HVH_096_000015_000017	恭惟
HVH_096_000015_000018	絲紅月老天仙至公至正不倚不偏玉鏡炤通知世事赤繩交固
HVH_096_000015_000019	結人縁昨從魚鴈通媒底厥婚姻擇配雖由有命今慶鴛得
HVH_096_000015_000020	侶宜其室家作合益本自天坦坦烏橋旣架諄諄蟻具宣伏惟
HVH_096_000015_000021	大德俯鑿微虔康吉黙扶两姓唱隨願滿百維熊維羅維础維
HVH_096_000015_000022	蛇早應吉祥兆快來成來為來崇來下永垂景福綿延欣幸曷
HVH_096_000015_000023	勝於常裁培寔頼於天仙謹告
HVH_096_000016_000001	祈安文
HVH_096_000016_000002	位前曰今為祈安必告禮也
HVH_096_000016_000003	恭惟
HVH_096_000016_000004	尊神統領隂兵巡行陽世空中結隊排兵夜静呼朋作弊丕揚風
HVH_096_000016_000005	雨之咸大振雷霆之勢静不正之氣雖時運使然静思至誠
HVH_096_000016_000006	感神可醮祭而爰展愚乘冐陳敬祭願鑿微誠錫之福祉海外
HVH_096_000016_000007	撑船直抵以邀以逰村中景福甲重俾昌熾伏望
HVH_096_000016_000008	尊神陰扶之大德也
HVH_096_000016_000009	謹告
HVH_096_000016_000010	明羊開賀祭文位
HVH_096_000016_000011	位前曰兹有開賀必告禮也
HVH_096_000016_000012	恭惟
HVH_096_000016_000013	尊神職掌當羊權行天下兹屬孟春禮陳開賀願聖神三酌享歆
HVH_096_000016_000014	護仝村百祥迎近文科吕龍虎榜題武職重麒麟圖昼歲歲皆
HVH_096_000016_000015	壽享喬彭家家共富増陶謝寔頼
HVH_096_000016_000016	春祭神文位前曰為春必告禮也
HVH_096_000016_000017	恭惟
HVH_096_000016_000018	尊神上等靈神中天正氣國家賞榮封鄉里職司管治奉朝廷
HVH_096_000016_000019	禮敬之儀適當日眷天之禮伏望鍳錫之福祉護國永長安
HVH_096_000016_000020	盤石如山如日月恒升保材民均享天恩得祿得名公侯迭
HVH_096_000016_000021	繼恩斯兼咸遂於四民德尚頼無窮於萬世寔頼尊神扶持
HVH_096_000016_000022	寺之大德
HVH_096_000016_000023	祈雨文
HVH_096_000016_000024	伏以髙也厚也妙乾開坤闔之機油然沛然慶
HVH_096_000017_000001	一雨施雲行之露無涯貼仰莫測顕靈愚等忝以齊民僻居甸
HVH_096_000017_000002	出作八息惟知以食為天鑿井耕田只是以穀為命每謂享
HVH_096_000017_000003	神有所仰資捍除灾第憂澇駭見浸禾大田不收甫田不
HVH_096_000017_000004	收旣以迫飢荒之急顧秋旱遭赤地今日不雨明日不雨
HVH_096_000017_000005	寧不孤渇望之𢙇望天之頸難伸葉之蟬心易劇窈
HVH_096_000017_000006	群居總難四高者蒼蒼
HVH_096_000017_000007	伏以願
HVH_096_000017_000008	尊神隂隲下民克相上帝達于冲漠速生化化之神機此藴
HVH_096_000017_000009	隆降沛泝之甘澍龜田決漿田玉液于以孚百穀之仰
HVH_096_000017_000010	膏苗稼成王稼金穰于以副三農之望雨如此則雲霓望慰聖
HVH_096_000017_000011	澤汪洋雨露胥霑神功赫奕愚等下情無任貼天仰聖激㓛屏
HVH_096_000017_000012	營之至謹奉奏以聞
HVH_096_000017_000013	祈雨得雨謝文
HVH_096_000017_000014	恭惟
HVH_096_000017_000015	尊神河海元精扶輿正氣又𣈜暘肅𣈜雨德備建中秋令殺春令
HVH_096_000017_000016	生功參相帝頌者偶因雨耕耘時阻眾功𣈜而暴白誠心宻
HVH_096_000017_000017	禱虔將菲禮湖封倐爾水山益油然雲起濡足之大田光賁
HVH_096_000017_000018	惠澤均行滂沱之東春生恩波廣被三農咸遂作興寸謝冐
HVH_096_000018_000001	陳敬祭佇見田功告浚秋歛冬藏試齊景福誕膺山增川至寔
HVH_096_000018_000002	頼扶持之大惠也
HVH_096_000018_000003	祈安文
HVH_096_000018_000004	天大帝
HVH_096_000018_000005	玉陛下
HVH_096_000018_000006	當羊山王行譴至德尊神
HVH_096_000018_000007	位前曰兹有祈安必告禮也
HVH_096_000018_000008	恭惟
HVH_096_000018_000009	大帝尊神有臨有容至精至粹差遣欽承上帝權丕操作福作威
HVH_096_000018_000010	淫照察人間德洞郭無偏無陂兹也等界在南天趣生越地
HVH_096_000018_000011	永念天灾流作固不差消長之機求能人事克修亦必有感通
HVH_096_000018_000012	之理禳壇彌切於兢惶靈德保垂於福履疫除灾送潛消無妄
HVH_096_000018_000013	之殃物阜人康常錫有餘之祉尚其格思求之如意寔頼扶持
HVH_096_000018_000014	之大惠也
HVH_096_000018_000015	恭請
HVH_096_000018_000016	本土城隍四位大王及五方使者各部行兵之神公來鍳格
HVH_096_000018_000017	祈福文
HVH_096_000018_000018	位前曰今爲祈福必告禮也
HVH_096_000018_000019	恭惟
HVH_096_000018_000020	尊神海河鐘靈山川英航丕端五位之乾宫甫一方之坤軸節
HVH_096_000018_000021	届幺天禮陳祈福鍳此寸誠錫之百祿兩途相讓於虞朝四業
HVH_096_000018_000022	咸欲於同休微自至國於焉勢奠金湯人物常安民以享得
HVH_096_000019_000001	調玉燭寔頼
HVH_096_000019_000002	百藝祭先師文
HVH_096_000019_000003	恭惟
HVH_096_000019_000004	先師才髙出類智邁先知範圍天地而不過口成萬物而無遺藝
HVH_096_000019_000005	雖有精粗各異本都從制作適宜茲因令節敬設菲儀尚其
HVH_096_000019_000006	格錫以繁禧默眷身躬康泰陰扶福履永綏寔賴
