HVH_107_05_000009_000021	皇律例
HVH_107_05_000009_000022	卷五
HVH_107_05_000009_000023	更学
HVH_107_05_000009_000024	比
HVH_107_05_000009_000025	上書奏事犯译
HVH_107_05_000009_000026	論
HVH_107_05_000009_000027	御名颜降子所當避者上
HVH_107_05_000009_000028	之中奏事之時而有誤犯者雖為無
HVH_107_05_000009_000029	御前止是光放检點养有不敬也
HVH_107_05_000009_000030	敬整之若取為名字则常為人所
HVH_107_05_000009_000031	不降也二字记一则二爷不偏牌也
HVH_107_05_000009_000032	皆不坐罪希上書及奏事而有
HVH_107_05_000009_000033	誤如当言原免而言不无如
HVH_107_05_000009_000034	疆料当言千石师信广石之類以
HVH_107_05_000009_000035	致罪有出人有多家有害事者
HVH_107_05_000009_000036	杖六十申六都書而错害事者
HVH_107_05_000009_000037	第十其各衙门
HVH_107_05_000009_000038	友書错误害书
HVH_107_05_000009_000039	者答二十所申有错额差無
HVH_107_05_000009_000040	得文案河行不
HVH_107_05_000009_000041	害事者勿論
HVH_107_05_000010_000001	事應奏不奏
HVH_107_05_000010_000002	九應議之人有犯應請肯而不請及應
HVH_107_05_000010_000003	論功上議而不上議
HVH_107_05_000010_000004	即便驿问
HVH_107_05_000010_000005	警落者
HVH_107_05_000010_000006	當該官
HVH_107_05_000010_000007	吏
HVH_107_05_000010_000008	處若文武職官有犯應奏
HVH_107_05_000010_000009	請而不奏請者杖一百有所规避
HVH_107_05_000010_000010	站
HVH_107_05_000010_000011	罪之
HVH_107_05_000010_000012	谢出入
HVH_107_05_000010_000013	人從重論。若軍務錢選法
HVH_107_05_000010_000014	制度刑名死罪災異及事應奏而不奏
HVH_107_05_000010_000015	者杖八十应申上而不申上者答四十
HVH_107_05_000010_000016	若
HVH_107_05_000010_000017	犯並軍学事
HVH_107_05_000010_000018	商
HVH_107_05_000010_000019	待回報而施行者並同不奏不申之
HVH_107_05_000010_000020	罪其合奏公事须要
HVH_107_05_000010_000021	越律例
HVH_107_05_000010_000022	卷五灵
HVH_107_05_000010_000023	事愿不
HVH_107_05_000010_000024	律定操具奏本其奏事及當該官
HVH_107_05_000010_000025	更食書姓名
HVH_107_05_000010_000026	现今奏本
HVH_107_05_000010_000027	更不食名
HVH_107_05_000010_000028	明白奏聞若
HVH_107_05_000010_000029	有规避
HVH_107_05_000010_000030	将所
HVH_107_05_000010_000031	爽内
HVH_107_05_000010_000032	增减開情節雕奏准
HVH_107_05_000010_000033	行者以秦施行以後因事露雖經
HVH_107_05_000010_000034	事
HVH_107_05_000010_000035	年遠問明白
HVH_107_05_000010_000036	粮
HVH_107_05_000010_000037	酌倩疲等
HVH_107_05_000010_000038	於親臨上司官處議公事必先隨事
HVH_107_05_000010_000039	群陳可否定議禀說若准提者衡上司
HVH_107_05_000010_000040	置立印署交簿附写
HVH_107_05_000010_000041	所疑
HVH_107_05_000010_000042	之事
HVH_107_05_000010_000043	各節绿由
HVH_107_05_000010_000044	首領官吏書名畫字以憑考若將不
HVH_107_05_000010_000045	司
HVH_107_05_000010_000046	公务冗併乘時朦禀説
HVH_107_05_000011_000001	行者依诉傳各街門官員言語律科
HVH_107_05_000011_000002	有所规避者從重論博官員言本
HVH_107_05_000011_000003	罪见訴伤律
HVH_107_05_000011_000004	随之人其先世皆有功国家者
HVH_107_05_000011_000005	故得装得世犯罪不并自提问
HVH_107_05_000011_000006	创典如此重功爵也九應議之人有
HVH_107_05_000011_000007	倒不奏逐自問者当該官更杖一
HVH_107_05_000011_000008	有若有所规避而不奏销其罪若重
HVH_107_05_000011_000009	務如調兵之類征
HVH_107_05_000011_000010	纳之退法则使兵二部全除等第
HVH_107_05_000011_000011	制度則一切典章法度刑名期問擬
HVH_107_05_000011_000012	至死之异災具则水旱災傷妖異怪
HVH_107_05_000011_000013	自越律馆
HVH_107_05_000011_000014	卷五律
HVH_107_05_000011_000015	九
HVH_107_05_000011_000016	事魔不奏
HVH_107_05_000011_000017	事應铺而不者杖八十應申
HVH_107_05_000011_000018	于上可而不申者管四十
HVH_107_05_000011_000019	奏應保肯已申應候示者不待回報
HVH_107_05_000011_000020	公事要依本律定提其奏事官
HVH_107_05_000011_000021	上可處察議公事得准者必置薄
HVH_107_05_000011_000022	警考若将不合行事務作合行
HVH_107_05_000011_000023	上司公兄乘楼眼票院
HVH_107_05_000011_000024	不及辞察准施行者依
HVH_107_05_000011_000025	之者其罪若重於訴傅從
HVH_107_05_000011_000026	避
HVH_107_05_000011_000027	重
HVH_107_05_000011_000028	果論
HVH_107_05_000011_000029	條例
HVH_107_05_000012_000001	一九州縣官將小民疾苦之情不行詳報
HVH_107_05_000012_000002	上司使民無可控想者单職永不叙用
HVH_107_05_000012_000003	若已經詳報而上司不接准题達者章
HVH_107_05_000012_000004	職
HVH_107_05_000012_000005	皇越律例
HVH_107_05_000012_000006	卷五支十
HVH_107_05_000012_000007	事鹿奏不奏
HVH_107_05_000013_000001	使不得命
HVH_107_05_000013_000002	不復命干預他事者
HVH_107_05_000013_000003	杖一百各衙門出使
HVH_107_05_000013_000004	無干涉
HVH_107_05_000013_000005	微北区
HVH_107_05_000013_000006	你事記
HVH_107_05_000013_000007	制付者
HVH_107_05_000013_000008	不後命干預他事者
HVH_107_05_000013_000009	五十
HVH_107_05_000013_000010	举命尚使以使事病请不得汗
HVH_107_05_000013_000011	他事所事已記当以後命急不得
HVH_107_05_000013_000012	制日者承率制使不
HVH_107_05_000013_000013	即命在地方干预包事者林一百
HVH_107_05_000013_000014	承各街門制付批依出使不即
HVH_107_05_000013_000015	命在地方干预能事者按所干之
HVH_107_05_000013_000016	分别科文常事七十单情重事
HVH_107_05_000013_000017	杖一百以上两项背言不命则其
HVH_107_05_000013_000018	皇越律例卷五支健
HVH_107_05_000013_000019	+1
HVH_107_05_000013_000020	自使不银命
HVH_107_05_000013_000021	使車已乾可知已者使事未能
HVH_107_05_000013_000022	不當妨於不得房次事超理越
HVH_107_05_000013_000023	侵人掌以行
HVH_107_05_000013_000024	事者答五十
HVH_107_05_000014_000001	-
HVH_107_05_000014_000002	-
HVH_107_05_000014_000003	官文書普程
HVH_107_05_000014_000004	九官文書普程者一日吏典一十三月
HVH_107_05_000014_000005	加一等罪止答四十首领官各减一等
HVH_107_05_000014_000006	言首镇正官佐不坐
HVH_107_05_000014_000007	首领官吏典之頭日九
HVH_107_05_000014_000008	若各衙门肚
HVH_107_05_000014_000009	遇有所属由禀公事降即詳議可否明
HVH_107_05_000014_000010	白定奪回報若当該肚官吏不與米
HVH_107_05_000014_000011	决含糊行移互相推调以致皖誤
HVH_107_05_000014_000012	件不行庭而作疑申者
HVH_107_05_000014_000013	官罪
HVH_107_05_000014_000014	亦如之
HVH_107_05_000014_000015	程謂程期心限如後例小事五日中
HVH_107_05_000014_000016	皇越律例
HVH_107_05_000014_000017	卷五更华
HVH_107_05_000014_000018	半十日大事一十日是已一應官文
HVH_107_05_000014_000019	1
HVH_107_05_000014_000020	官文育普器
HVH_107_05_000014_000021	書依此清辨遇此限期不了日程
HVH_107_05_000014_000022	謂建程也程一日吏典一
HVH_107_05_000014_000023	让止答二十正官不坐以永
HVH_107_05_000014_000024	1
HVH_107_05_000014_000025	司之公事即当處施行則文書不
HVH_107_05_000014_000026	若下司特可行
HVH_107_05_000014_000027	行事件不行處作款
HVH_107_05_000014_000028	中察则罪在所
HVH_107_05_000014_000029	属亚大八十
HVH_107_05_000014_000030	怀例
HVH_107_05_000014_000031	一内外衙門公事小事五日程中事十日
HVH_107_05_000014_000032	教大事二十日程並要限内圆結若事
HVH_107_05_000015_000001	千外郡官司追會審或踏勘田土者
HVH_107_05_000015_000002	不拘常限
HVH_107_05_000015_000003	一部院衙門一切應行事件俱於到司五
HVH_107_05_000015_000004	日之内行文其有訛誤年錯之處將事
HVH_107_05_000015_000005	管值日之司官交部議處知遗漏未行
HVH_107_05_000015_000006	或运延日將司官交部分别議處
HVH_107_05_000015_000007	一九刑部衙門尋常移容各管镇案件如
HVH_107_05_000015_000008	行查家産提人犯俱以文到之日為
HVH_107_05_000015_000009	始依限查覆於覆文内将何日接到部
HVH_107_05_000015_000010	洛有無逾限之處随案聲明尚一時未
HVH_107_05_000015_000011	得情晰必須輾轉容查不能侯限查覆
HVH_107_05_000015_000012	皇越律例
HVH_107_05_000015_000013	人卷五
HVH_107_05_000015_000014	官書赞程
HVH_107_05_000015_000015	者亦即聲請限如逾限不又不聲
HVH_107_05_000015_000016	明緣由經部行催之後即行查参将承
HVH_107_05_000015_000017	辨之州縣及各該上司俱交部議處
HVH_107_05_000015_000018	一九州縣承寄命案群請檢驗上司並未
HVH_107_05_000015_000019	批联者仍按限解外其有屡次聚查
HVH_107_05_000015_000020	後經批准通延有因之案該營鎮實
HVH_107_05_000015_000021	聲明報部准其另行扣限如有捏饰照
HVH_107_05_000015_000022	倒最来
HVH_107_05_000015_000023	一九各部事件在本部题結者更體兵工
HVH_107_05_000015_000024	等部及各衙門俱定限二十日户刑二
